# Red box data 
# quench cooling cycle (mol con 0.50)
# t0: 2022              3              8             15             29         37.824
# T [K] 	 dTdt [K/s] 	 V [Volt] 	 dV/dt [Volt/s] 	 IntdTdt [V] 	 etime [s] 
3.05276e+02 	 2.59419e+00 	 -1.08821e-02 	 1.35116e-04 	 1.64799e-03 	 1.32000e+00 
3.05261e+02 	 2.59419e+00 	 -1.08822e-02 	 1.35114e-04 	 1.64722e-03 	 2.33500e+00 
3.05226e+02 	 2.59427e+00 	 -1.08822e-02 	 1.35114e-04 	 1.64534e-03 	 3.33500e+00 
3.05195e+02 	 2.59430e+00 	 -1.08822e-02 	 1.35113e-04 	 1.64376e-03 	 4.33400e+00 
3.05146e+02 	 2.59440e+00 	 -1.08823e-02 	 1.35113e-04 	 1.64118e-03 	 5.33600e+00 
3.05109e+02 	 2.59447e+00 	 -1.08820e-02 	 1.35113e-04 	 1.63927e-03 	 6.33600e+00 
3.05078e+02 	 2.59456e+00 	 -1.08823e-02 	 1.35114e-04 	 1.63767e-03 	 7.35300e+00 
3.05029e+02 	 2.59467e+00 	 -1.08824e-02 	 1.35115e-04 	 1.63508e-03 	 8.36600e+00 
3.04985e+02 	 2.59473e+00 	 -1.08826e-02 	 1.35113e-04 	 1.63277e-03 	 9.38200e+00 
3.04944e+02 	 2.59477e+00 	 -1.08827e-02 	 1.35111e-04 	 1.63067e-03 	 1.03850e+01 
3.04894e+02 	 2.59491e+00 	 -1.08826e-02 	 1.35113e-04 	 1.62805e-03 	 1.13840e+01 
3.04800e+02 	 2.59506e+00 	 -1.08826e-02 	 1.35111e-04 	 1.62311e-03 	 1.23990e+01 
3.04493e+02 	 2.59569e+00 	 -1.08822e-02 	 1.35112e-04 	 1.60713e-03 	 1.33990e+01 
3.03767e+02 	 2.59713e+00 	 -1.08822e-02 	 1.35111e-04 	 1.56921e-03 	 1.44140e+01 
3.02449e+02 	 2.59978e+00 	 -1.08822e-02 	 1.35112e-04 	 1.50070e-03 	 1.54300e+01 
3.00833e+02 	 2.60296e+00 	 -1.08818e-02 	 1.35110e-04 	 1.41699e-03 	 1.64300e+01 
2.98558e+02 	 2.60750e+00 	 -1.08810e-02 	 1.35111e-04 	 1.29915e-03 	 1.74300e+01 
2.96329e+02 	 2.61389e+00 	 -1.08806e-02 	 1.35109e-04 	 1.18366e-03 	 1.84480e+01 
2.93450e+02 	 2.62274e+00 	 -1.08800e-02 	 1.35109e-04 	 1.03455e-03 	 1.94460e+01 
2.90240e+02 	 2.63249e+00 	 -1.08792e-02 	 1.35109e-04 	 8.69995e-04 	 2.04530e+01 
2.87249e+02 	 2.64118e+00 	 -1.08785e-02 	 1.35108e-04 	 7.16853e-04 	 2.14700e+01 
2.83407e+02 	 2.65122e+00 	 -1.08770e-02 	 1.35107e-04 	 5.20170e-04 	 2.24690e+01 
2.79238e+02 	 2.66204e+00 	 -1.08767e-02 	 1.35108e-04 	 3.08674e-04 	 2.34710e+01 
2.75510e+02 	 2.67331e+00 	 -1.08753e-02 	 1.35107e-04 	 1.19638e-04 	 2.44710e+01 
2.71002e+02 	 2.68769e+00 	 -1.08742e-02 	 1.35106e-04 	 -1.07628e-04 	 2.54870e+01 
2.66329e+02 	 2.70375e+00 	 -1.08732e-02 	 1.35107e-04 	 -3.41743e-04 	 2.65020e+01 
2.62222e+02 	 2.71944e+00 	 -1.08722e-02 	 1.35104e-04 	 -5.46831e-04 	 2.75170e+01 
2.57362e+02 	 2.73803e+00 	 -1.08706e-02 	 1.35105e-04 	 -7.86924e-04 	 2.85200e+01 
2.52367e+02 	 2.75772e+00 	 -1.08696e-02 	 1.35102e-04 	 -1.03315e-03 	 2.95190e+01 
2.48034e+02 	 2.77477e+00 	 -1.08685e-02 	 1.35105e-04 	 -1.24414e-03 	 3.05190e+01 
2.43011e+02 	 2.79818e+00 	 -1.08665e-02 	 1.35103e-04 	 -1.48867e-03 	 3.15360e+01 
2.38674e+02 	 2.81809e+00 	 -1.08657e-02 	 1.35102e-04 	 -1.69641e-03 	 3.25190e+01 
2.33305e+02 	 2.84690e+00 	 -1.08642e-02 	 1.35101e-04 	 -1.95357e-03 	 3.35350e+01 
2.26438e+02 	 2.88310e+00 	 -1.08625e-02 	 1.35102e-04 	 -2.27644e-03 	 3.45530e+01 
2.19380e+02 	 2.91820e+00 	 -1.08602e-02 	 1.35101e-04 	 -2.60518e-03 	 3.55520e+01 
2.10245e+02 	 2.98079e+00 	 -1.08567e-02 	 1.35099e-04 	 -3.02402e-03 	 3.65710e+01 
2.00538e+02 	 3.04217e+00 	 -1.08434e-02 	 1.35101e-04 	 -3.45947e-03 	 3.75680e+01 
1.92116e+02 	 3.11299e+00 	 -1.07418e-02 	 1.35099e-04 	 -3.83036e-03 	 3.85850e+01 
1.82326e+02 	 3.19788e+00 	 -1.06163e-02 	 1.35099e-04 	 -4.24946e-03 	 3.95850e+01 
1.72792e+02 	 3.29290e+00 	 -1.05066e-02 	 1.35098e-04 	 -4.64745e-03 	 4.05850e+01 
1.64801e+02 	 3.38800e+00 	 -1.03770e-02 	 1.35097e-04 	 -4.97031e-03 	 4.15990e+01 
1.55869e+02 	 3.50309e+00 	 -1.02468e-02 	 1.35098e-04 	 -5.32024e-03 	 4.26130e+01 
1.47373e+02 	 3.61615e+00 	 -1.01345e-02 	 1.35096e-04 	 -5.64263e-03 	 4.36290e+01 
1.40379e+02 	 3.73643e+00 	 -1.00043e-02 	 1.35098e-04 	 -5.90020e-03 	 4.46440e+01 
1.32605e+02 	 3.88003e+00 	 -9.87375e-03 	 1.35098e-04 	 -6.17757e-03 	 4.56440e+01 
1.25260e+02 	 4.03524e+00 	 -9.76246e-03 	 1.35095e-04 	 -6.42806e-03 	 4.66470e+01 
1.19424e+02 	 4.17811e+00 	 -9.63148e-03 	 1.35096e-04 	 -6.61961e-03 	 4.76480e+01 
1.13357e+02 	 4.33935e+00 	 -9.50149e-03 	 1.35096e-04 	 -6.81434e-03 	 4.86490e+01 
1.08558e+02 	 4.46289e+00 	 -9.38948e-03 	 1.35095e-04 	 -6.95969e-03 	 4.96350e+01 
1.03722e+02 	 4.63488e+00 	 -9.25887e-03 	 1.35096e-04 	 -7.10572e-03 	 5.06500e+01 
9.93089e+01 	 4.78561e+00 	 -9.14736e-03 	 1.35095e-04 	 -7.23055e-03 	 5.16510e+01 
9.60573e+01 	 4.92371e+00 	 -9.01697e-03 	 1.35095e-04 	 -7.32160e-03 	 5.26520e+01 
9.27391e+01 	 5.07887e+00 	 -8.88624e-03 	 1.35095e-04 	 -7.41352e-03 	 5.36500e+01 
8.97340e+01 	 5.20873e+00 	 -8.77430e-03 	 1.35096e-04 	 -7.49045e-03 	 5.46550e+01 
8.75249e+01 	 5.31463e+00 	 -8.64381e-03 	 1.35094e-04 	 -7.54700e-03 	 5.56550e+01 
8.53507e+01 	 5.44518e+00 	 -8.51368e-03 	 1.35094e-04 	 -7.60266e-03 	 5.66720e+01 
8.35686e+01 	 5.55221e+00 	 -8.40234e-03 	 1.35094e-04 	 -7.64828e-03 	 5.76960e+01 
8.22020e+01 	 5.62860e+00 	 -8.27155e-03 	 1.35092e-04 	 -7.68090e-03 	 6.85100e+01 
7.67375e+01 	 -2.99542e-01 	 -7.89443e-03 	 -6.79052e-06 	 -7.80713e-03 	 6.90030e+01 
7.65269e+01 	 -2.75749e-01 	 -7.89859e-03 	 -6.23383e-06 	 -7.81199e-03 	 6.97840e+01 
7.63427e+01 	 -2.48338e-01 	 -7.90388e-03 	 -5.60059e-06 	 -7.81625e-03 	 7.07850e+01 
7.61610e+01 	 -2.19142e-01 	 -7.90789e-03 	 -4.93040e-06 	 -7.82044e-03 	 7.17880e+01 
7.59912e+01 	 -2.01888e-01 	 -7.91163e-03 	 -4.53212e-06 	 -7.82437e-03 	 7.27710e+01 
