# Red box data 
# quench cooling cycle (mol con 0.53)
# t0: 2022              3              9             14             39          2.057
# T [K] 	 dTdt [K/s] 	 V [Volt] 	 dV/dt [Volt/s] 	 IntdTdt [V] 	 etime [s] 
2.97280e+02 	 -4.17272e-03 	 1.11389e-03 	 -2.15925e-07 	 1.23292e-03 	 1.33300e+00 
2.97280e+02 	 -8.06782e-03 	 1.11694e-03 	 -4.17485e-07 	 1.23292e-03 	 2.34700e+00 
2.97280e+02 	 -9.73637e-03 	 1.11389e-03 	 -5.03827e-07 	 1.23292e-03 	 3.36300e+00 
2.97280e+02 	 -1.14055e-02 	 1.11389e-03 	 -5.90198e-07 	 1.23292e-03 	 4.36000e+00 
2.97280e+02 	 -1.33533e-02 	 1.11694e-03 	 -6.90992e-07 	 1.23292e-03 	 5.37800e+00 
2.97280e+02 	 -1.47442e-02 	 1.11694e-03 	 -7.62967e-07 	 1.23292e-03 	 6.37700e+00 
2.97280e+02 	 -1.61351e-02 	 1.11389e-03 	 -8.34942e-07 	 1.23292e-03 	 7.38900e+00 
2.97280e+02 	 -1.72478e-02 	 1.11694e-03 	 -8.92523e-07 	 1.23292e-03 	 8.40400e+00 
2.97280e+02 	 -1.97510e-02 	 1.11389e-03 	 -1.02205e-06 	 1.23292e-03 	 9.41800e+00 
2.97280e+02 	 -2.19770e-02 	 1.11389e-03 	 -1.13724e-06 	 1.23291e-03 	 1.04350e+01 
2.97280e+02 	 -3.25473e-02 	 1.11389e-03 	 -1.68422e-06 	 1.23291e-03 	 1.14340e+01 
2.97221e+02 	 -3.53322e-02 	 1.11389e-03 	 -1.82820e-06 	 1.22986e-03 	 1.24310e+01 
2.97221e+02 	 -3.92264e-02 	 1.11084e-03 	 -2.02971e-06 	 1.22986e-03 	 1.34410e+01 
2.97221e+02 	 -4.08962e-02 	 1.11083e-03 	 -2.11610e-06 	 1.22986e-03 	 1.44420e+01 
2.97162e+02 	 -4.89669e-02 	 1.10779e-03 	 -2.53353e-06 	 1.22681e-03 	 1.54260e+01 
2.97103e+02 	 -4.86926e-02 	 1.10779e-03 	 -2.51917e-06 	 1.22376e-03 	 1.64430e+01 
2.97103e+02 	 -4.81361e-02 	 1.10474e-03 	 -2.49038e-06 	 1.22376e-03 	 1.74450e+01 
2.97044e+02 	 -4.73047e-02 	 1.10473e-03 	 -2.44719e-06 	 1.22071e-03 	 1.84260e+01 
2.97044e+02 	 -5.09215e-02 	 1.10168e-03 	 -2.63430e-06 	 1.22070e-03 	 1.94440e+01 
2.96985e+02 	 -5.34301e-02 	 1.10168e-03 	 -2.76388e-06 	 1.21766e-03 	 2.04560e+01 
2.96926e+02 	 -5.81643e-02 	 1.09863e-03 	 -3.00857e-06 	 1.21461e-03 	 2.14730e+01 
2.96926e+02 	 -6.67921e-02 	 1.09558e-03 	 -3.45485e-06 	 1.21460e-03 	 2.24880e+01 
2.96867e+02 	 -7.59807e-02 	 1.09253e-03 	 -3.92986e-06 	 1.21155e-03 	 2.35030e+01 
2.96808e+02 	 -8.62850e-02 	 1.09252e-03 	 -4.46250e-06 	 1.20850e-03 	 2.45000e+01 
2.96749e+02 	 -9.60329e-02 	 1.08643e-03 	 -4.96630e-06 	 1.20544e-03 	 2.55060e+01 
2.96631e+02 	 -1.06069e-01 	 1.08337e-03 	 -5.48455e-06 	 1.19934e-03 	 2.65070e+01 
2.96514e+02 	 -1.20005e-01 	 1.07727e-03 	 -6.20428e-06 	 1.19324e-03 	 2.75250e+01 
2.96455e+02 	 -1.33379e-01 	 1.07117e-03 	 -6.89524e-06 	 1.19019e-03 	 2.85230e+01 
2.96337e+02 	 -1.46208e-01 	 1.06506e-03 	 -7.55745e-06 	 1.18408e-03 	 2.95410e+01 
2.96160e+02 	 -1.61558e-01 	 1.06201e-03 	 -8.34915e-06 	 1.17493e-03 	 3.05390e+01 
2.96042e+02 	 -1.77182e-01 	 1.05285e-03 	 -9.15527e-06 	 1.16883e-03 	 3.15450e+01 
2.95866e+02 	 -1.90872e-01 	 1.04370e-03 	 -9.86063e-06 	 1.15967e-03 	 3.25570e+01 
2.95689e+02 	 -2.07634e-01 	 1.03455e-03 	 -1.07243e-05 	 1.15052e-03 	 3.35740e+01 
2.95512e+02 	 -2.26075e-01 	 1.02539e-03 	 -1.16744e-05 	 1.14136e-03 	 3.45890e+01 
2.95335e+02 	 -2.42295e-01 	 1.01623e-03 	 -1.25094e-05 	 1.13220e-03 	 3.55920e+01 
2.95100e+02 	 -2.61605e-01 	 1.00403e-03 	 -1.35026e-05 	 1.12000e-03 	 3.65880e+01 
2.94864e+02 	 -2.82880e-01 	 9.91821e-04 	 -1.45966e-05 	 1.10779e-03 	 3.75900e+01 
