# Red box data 
# slow cooling cycle (mol con 0.60)
# t0: 2022     3    11    16    25    25
# T [K] 	 dTdt [K/s] 	 V [Volt] 	 dV/dt [Volt/s] 	 IntdTdt [V] 	 etime [s] 
2.94128e+02 	 -4.32182e-03 	 9.49228e-04 	 -2.22814e-07 	 1.06968e-03 	 1.32000e+00 
2.94134e+02 	 -4.12874e-03 	 9.49609e-04 	 -2.12861e-07 	 1.06997e-03 	 2.33500e+00 
2.94145e+02 	 -3.32704e-03 	 9.50146e-04 	 -1.71531e-07 	 1.07054e-03 	 3.34900e+00 
2.94159e+02 	 -3.92848e-03 	 9.50360e-04 	 -2.02542e-07 	 1.07127e-03 	 4.36300e+00 
2.94174e+02 	 -4.22942e-03 	 9.51266e-04 	 -2.18062e-07 	 1.07205e-03 	 5.37800e+00 
2.94174e+02 	 -4.55170e-03 	 9.51338e-04 	 -2.34678e-07 	 1.07202e-03 	 6.37900e+00 
2.94188e+02 	 -5.05440e-03 	 9.51922e-04 	 -2.60601e-07 	 1.07278e-03 	 7.38000e+00 
2.94189e+02 	 -6.00812e-03 	 9.52494e-04 	 -3.09775e-07 	 1.07281e-03 	 8.37600e+00 
2.94197e+02 	 -6.46066e-03 	 9.52685e-04 	 -3.33110e-07 	 1.07326e-03 	 9.39200e+00 
2.94202e+02 	 -5.99604e-03 	 9.52631e-04 	 -3.09157e-07 	 1.07352e-03 	 1.04080e+01 
2.94208e+02 	 -6.24739e-03 	 9.53096e-04 	 -3.22118e-07 	 1.07380e-03 	 1.14080e+01 
2.94212e+02 	 -6.45837e-03 	 9.53793e-04 	 -3.32998e-07 	 1.07403e-03 	 1.24210e+01 
2.94220e+02 	 -6.20913e-03 	 9.53609e-04 	 -3.20150e-07 	 1.07445e-03 	 1.34360e+01 
2.94233e+02 	 -6.39606e-03 	 9.54449e-04 	 -3.29793e-07 	 1.07511e-03 	 1.44340e+01 
2.94237e+02 	 -6.84424e-03 	 9.55009e-04 	 -3.52904e-07 	 1.07530e-03 	 1.54510e+01 
2.94243e+02 	 -5.78038e-03 	 9.55140e-04 	 -2.98051e-07 	 1.07563e-03 	 1.64660e+01 
2.94255e+02 	 -5.94168e-03 	 9.55510e-04 	 -3.06373e-07 	 1.07625e-03 	 1.74810e+01 
2.94258e+02 	 -6.62706e-03 	 9.55939e-04 	 -3.41714e-07 	 1.07638e-03 	 1.84990e+01 
2.94262e+02 	 -7.39148e-03 	 9.56029e-04 	 -3.81132e-07 	 1.07659e-03 	 1.94980e+01 
2.94270e+02 	 -1.06515e-02 	 9.56398e-04 	 -5.49234e-07 	 1.07703e-03 	 2.05130e+01 
2.94260e+02 	 -1.60033e-02 	 9.56350e-04 	 -8.25187e-07 	 1.07652e-03 	 2.15130e+01 
2.94265e+02 	 -2.17703e-02 	 9.56130e-04 	 -1.12256e-06 	 1.07678e-03 	 2.25270e+01 
2.94251e+02 	 -2.33351e-02 	 9.55748e-04 	 -1.20323e-06 	 1.07604e-03 	 2.35260e+01 
2.94241e+02 	 -2.72640e-02 	 9.55415e-04 	 -1.40580e-06 	 1.07549e-03 	 2.45580e+01 
2.94227e+02 	 -2.92340e-02 	 9.54139e-04 	 -1.50735e-06 	 1.07480e-03 	 2.55560e+01 
2.94214e+02 	 -2.79743e-02 	 9.53275e-04 	 -1.44238e-06 	 1.07413e-03 	 2.65560e+01 
2.94202e+02 	 -2.46609e-02 	 9.53001e-04 	 -1.27152e-06 	 1.07350e-03 	 2.75880e+01 
2.94190e+02 	 -2.31006e-02 	 9.52786e-04 	 -1.19105e-06 	 1.07289e-03 	 2.85860e+01 
2.94183e+02 	 -2.45960e-02 	 9.52238e-04 	 -1.26814e-06 	 1.07251e-03 	 2.96010e+01 
2.94174e+02 	 -3.09088e-02 	 9.51522e-04 	 -1.59361e-06 	 1.07203e-03 	 3.06180e+01 
2.94146e+02 	 -3.29864e-02 	 9.50390e-04 	 -1.70067e-06 	 1.07062e-03 	 3.16290e+01 
2.94129e+02 	 -4.32728e-02 	 9.49830e-04 	 -2.23096e-06 	 1.06971e-03 	 3.26450e+01 
2.94103e+02 	 -5.06119e-02 	 9.48137e-04 	 -2.60925e-06 	 1.06834e-03 	 3.36580e+01 
2.94059e+02 	 -5.54308e-02 	 9.46069e-04 	 -2.85754e-06 	 1.06607e-03 	 3.46740e+01 
2.94007e+02 	 -5.87732e-02 	 9.44501e-04 	 -3.02966e-06 	 1.06341e-03 	 3.56880e+01 
2.93966e+02 	 -8.04897e-02 	 9.41014e-04 	 -4.14890e-06 	 1.06125e-03 	 3.67040e+01 
2.93893e+02 	 -9.15482e-02 	 9.37968e-04 	 -4.71852e-06 	 1.05749e-03 	 3.77010e+01 
2.93813e+02 	 -1.04589e-01 	 9.34023e-04 	 -5.39017e-06 	 1.05336e-03 	 3.87160e+01 
2.93721e+02 	 -1.18059e-01 	 9.29510e-04 	 -6.08369e-06 	 1.04856e-03 	 3.97300e+01 
2.93622e+02 	 -1.30865e-01 	 9.23949e-04 	 -6.74283e-06 	 1.04346e-03 	 4.07460e+01 
2.93490e+02 	 -1.45663e-01 	 9.18531e-04 	 -7.50414e-06 	 1.03662e-03 	 4.17630e+01 
2.93378e+02 	 -1.60093e-01 	 9.11719e-04 	 -8.24641e-06 	 1.03083e-03 	 4.27620e+01 
2.93225e+02 	 -1.72251e-01 	 9.03970e-04 	 -8.87108e-06 	 1.02289e-03 	 4.37790e+01 
2.93067e+02 	 -1.82033e-01 	 8.95780e-04 	 -9.37317e-06 	 1.01477e-03 	 4.47920e+01 
2.92886e+02 	 -2.02899e-01 	 8.88044e-04 	 -1.04454e-05 	 1.00548e-03 	 4.58060e+01 
2.92718e+02 	 -2.22123e-01 	 8.78566e-04 	 -1.14328e-05 	 9.96870e-04 	 4.68040e+01 
2.92497e+02 	 -2.48887e-01 	 8.69304e-04 	 -1.28072e-05 	 9.85581e-04 	 4.78190e+01 
2.92257e+02 	 -2.71480e-01 	 8.56691e-04 	 -1.39658e-05 	 9.73278e-04 	 4.88500e+01 
2.92023e+02 	 -2.93779e-01 	 8.43400e-04 	 -1.51088e-05 	 9.61304e-04 	 4.98490e+01 
2.91736e+02 	 -3.12549e-01 	 8.29571e-04 	 -1.60688e-05 	 9.46581e-04 	 5.08500e+01 
2.91430e+02 	 -3.33604e-01 	 8.15928e-04 	 -1.71453e-05 	 9.30941e-04 	 5.18630e+01 
2.91163e+02 	 -3.53441e-01 	 7.99942e-04 	 -1.81592e-05 	 9.17256e-04 	 5.28810e+01 
2.90817e+02 	 -3.69096e-01 	 7.82686e-04 	 -1.89560e-05 	 8.99571e-04 	 5.38800e+01 
2.90464e+02 	 -3.87855e-01 	 7.66975e-04 	 -1.99112e-05 	 8.81457e-04 	 5.48930e+01 
2.90136e+02 	 -4.01300e-01 	 7.48771e-04 	 -2.05936e-05 	 8.64667e-04 	 5.58940e+01 
2.89757e+02 	 -4.15546e-01 	 7.28708e-04 	 -2.13154e-05 	 8.45253e-04 	 5.69080e+01 
2.89355e+02 	 -4.29417e-01 	 7.11512e-04 	 -2.20167e-05 	 8.24678e-04 	 5.79220e+01 
2.89002e+02 	 -4.42189e-01 	 6.90704e-04 	 -2.26623e-05 	 8.06600e-04 	 5.89370e+01 
2.88586e+02 	 -4.51592e-01 	 6.70040e-04 	 -2.31332e-05 	 7.85339e-04 	 5.99680e+01 
2.88152e+02 	 -4.61504e-01 	 6.50918e-04 	 -2.36291e-05 	 7.63112e-04 	 6.09700e+01 
2.87779e+02 	 -4.72171e-01 	 6.28394e-04 	 -2.41663e-05 	 7.44021e-04 	 6.19690e+01 
2.87334e+02 	 -4.79114e-01 	 6.05756e-04 	 -2.45108e-05 	 7.21198e-04 	 6.29810e+01 
2.86874e+02 	 -4.87009e-01 	 5.85866e-04 	 -2.49034e-05 	 6.97684e-04 	 6.39860e+01 
2.86476e+02 	 -4.93889e-01 	 5.62704e-04 	 -2.52452e-05 	 6.77293e-04 	 6.49860e+01 
2.86019e+02 	 -4.99860e-01 	 5.39112e-04 	 -2.55389e-05 	 6.53875e-04 	 6.60030e+01 
2.85540e+02 	 -5.04731e-01 	 5.18334e-04 	 -2.57755e-05 	 6.29359e-04 	 6.70160e+01 
2.85136e+02 	 -5.09792e-01 	 4.93950e-04 	 -2.60236e-05 	 6.08683e-04 	 6.80300e+01 
2.84655e+02 	 -5.14470e-01 	 4.69530e-04 	 -2.62500e-05 	 5.84078e-04 	 6.90420e+01 
2.84173e+02 	 -5.16908e-01 	 4.48477e-04 	 -2.63618e-05 	 5.59354e-04 	 7.00560e+01 
2.83757e+02 	 -5.21605e-01 	 4.23837e-04 	 -2.65904e-05 	 5.38081e-04 	 7.10710e+01 
2.83265e+02 	 -5.24180e-01 	 3.98821e-04 	 -2.67087e-05 	 5.12898e-04 	 7.20750e+01 
2.82772e+02 	 -5.26472e-01 	 3.77333e-04 	 -2.68126e-05 	 4.87846e-04 	 7.30890e+01 
2.82345e+02 	 -5.29631e-01 	 3.52645e-04 	 -2.69622e-05 	 4.66198e-04 	 7.40900e+01 
2.81841e+02 	 -5.31823e-01 	 3.27474e-04 	 -2.70605e-05 	 4.40657e-04 	 7.50890e+01 
2.81347e+02 	 -5.32890e-01 	 3.05635e-04 	 -2.71017e-05 	 4.15575e-04 	 7.61020e+01 
2.80915e+02 	 -5.34438e-01 	 2.80130e-04 	 -2.71690e-05 	 3.93683e-04 	 7.71170e+01 
2.80409e+02 	 -5.37190e-01 	 2.54691e-04 	 -2.72955e-05 	 3.68029e-04 	 7.81310e+01 
2.79899e+02 	 -5.37398e-01 	 2.32673e-04 	 -2.72925e-05 	 3.42160e-04 	 7.91490e+01 
2.79467e+02 	 -5.40014e-01 	 2.07502e-04 	 -2.74138e-05 	 3.20285e-04 	 8.01450e+01 
2.78958e+02 	 -5.40776e-01 	 1.81043e-04 	 -2.74389e-05 	 2.94483e-04 	 8.11510e+01 
2.78450e+02 	 -5.40818e-01 	 1.59186e-04 	 -2.74274e-05 	 2.68698e-04 	 8.21660e+01 
2.78006e+02 	 -5.42040e-01 	 1.33723e-04 	 -2.74767e-05 	 2.46179e-04 	 8.31670e+01 
2.77503e+02 	 -5.42578e-01 	 1.07902e-04 	 -2.74873e-05 	 2.20686e-04 	 8.41660e+01 
2.76986e+02 	 -5.42037e-01 	 8.59200e-05 	 -2.74428e-05 	 1.94460e-04 	 8.51680e+01 
2.76559e+02 	 -5.42315e-01 	 6.02722e-05 	 -2.74428e-05 	 1.72824e-04 	 8.61830e+01 
2.76046e+02 	 -5.41916e-01 	 3.46660e-05 	 -2.74057e-05 	 1.46806e-04 	 8.71980e+01 
2.75542e+02 	 -5.43235e-01 	 1.30474e-05 	 -2.74557e-05 	 1.21266e-04 	 8.82000e+01 
2.75118e+02 	 -5.42615e-01 	 -1.28030e-05 	 -2.74105e-05 	 9.97960e-05 	 8.91970e+01 
2.74594e+02 	 -5.42538e-01 	 -3.46778e-05 	 -2.73893e-05 	 7.32122e-05 	 9.02110e+01 
2.74093e+02 	 -5.41533e-01 	 -6.02006e-05 	 -2.73221e-05 	 4.77968e-05 	 9.12250e+01 
2.73658e+02 	 -5.40460e-01 	 -8.63432e-05 	 -2.72538e-05 	 2.57432e-05 	 9.22270e+01 
2.73155e+02 	 -5.41163e-01 	 -1.11431e-04 	 -2.72728e-05 	 2.62200e-07 	 9.32410e+01 
2.72648e+02 	 -5.40485e-01 	 -1.33437e-04 	 -2.72223e-05 	 -2.51650e-05 	 9.42550e+01 
2.72210e+02 	 -5.39737e-01 	 -1.59162e-04 	 -2.71706e-05 	 -4.71174e-05 	 9.52690e+01 
2.71704e+02 	 -5.39425e-01 	 -1.84202e-04 	 -2.71386e-05 	 -7.24494e-05 	 9.62850e+01 
2.71197e+02 	 -5.38542e-01 	 -2.05618e-04 	 -2.70780e-05 	 -9.78230e-05 	 9.73010e+01 
2.70757e+02 	 -5.38367e-01 	 -2.31260e-04 	 -2.70552e-05 	 -1.19865e-04 	 9.83010e+01 
2.70249e+02 	 -5.36868e-01 	 -2.56210e-04 	 -2.69637e-05 	 -1.45316e-04 	 9.93020e+01 
2.69738e+02 	 -5.37222e-01 	 -2.78217e-04 	 -2.69652e-05 	 -1.70928e-04 	 1.00317e+02 
2.69318e+02 	 -5.36722e-01 	 -3.03286e-04 	 -2.69268e-05 	 -1.91986e-04 	 1.01317e+02 
2.68814e+02 	 -5.35231e-01 	 -3.28588e-04 	 -2.68361e-05 	 -2.17223e-04 	 1.02333e+02 
2.68380e+02 	 -5.35071e-01 	 -3.49790e-04 	 -2.68143e-05 	 -2.38955e-04 	 1.03334e+02 
2.67882e+02 	 -5.33761e-01 	 -3.74925e-04 	 -2.67312e-05 	 -2.63941e-04 	 1.04349e+02 
2.67379e+02 	 -5.32980e-01 	 -3.99816e-04 	 -2.66730e-05 	 -2.89142e-04 	 1.05366e+02 
2.66873e+02 	 -5.33608e-01 	 -4.21399e-04 	 -2.66851e-05 	 -3.14492e-04 	 1.06364e+02 
2.66456e+02 	 -5.33267e-01 	 -4.46314e-04 	 -2.66523e-05 	 -3.35359e-04 	 1.07380e+02 
2.65950e+02 	 -5.32856e-01 	 -4.70596e-04 	 -2.66125e-05 	 -3.60715e-04 	 1.08393e+02 
2.65454e+02 	 -5.33454e-01 	 -4.92203e-04 	 -2.66236e-05 	 -3.85582e-04 	 1.09408e+02 
2.65028e+02 	 -5.31928e-01 	 -5.17088e-04 	 -2.65314e-05 	 -4.06909e-04 	 1.10406e+02 
2.64534e+02 	 -5.31043e-01 	 -5.41782e-04 	 -2.64687e-05 	 -4.31651e-04 	 1.11425e+02 
2.64043e+02 	 -5.30485e-01 	 -5.62805e-04 	 -2.64225e-05 	 -4.56279e-04 	 1.12437e+02 
2.63613e+02 	 -5.30885e-01 	 -5.87654e-04 	 -2.64263e-05 	 -4.77826e-04 	 1.13453e+02 
2.63124e+02 	 -5.30109e-01 	 -6.12372e-04 	 -2.63693e-05 	 -5.02306e-04 	 1.14454e+02 
2.62617e+02 	 -5.30310e-01 	 -6.33514e-04 	 -2.63607e-05 	 -5.27322e-04 	 1.15452e+02 
2.62195e+02 	 -5.30441e-01 	 -6.58053e-04 	 -2.63517e-05 	 -5.48172e-04 	 1.16445e+02 
2.61695e+02 	 -5.28312e-01 	 -6.79010e-04 	 -2.62276e-05 	 -5.72854e-04 	 1.17460e+02 
2.61265e+02 	 -5.27737e-01 	 -7.03239e-04 	 -2.61834e-05 	 -5.94127e-04 	 1.18462e+02 
2.60772e+02 	 -5.28286e-01 	 -7.27844e-04 	 -2.61926e-05 	 -6.18482e-04 	 1.19461e+02 
