# Red box data 
# glyceroltest2-slow_cooling
# t0: 2022              2             22             16              9         50.915
# T [K] 	 dTdt [K/s] 	 V [Volt] 	 dV/dt [Volt/s] 	 IntdTdt [V] 	 etime [s] 
2.96333e+02 	 -1.72388e-02 	 1.06246e-03 	 -8.91061e-07 	 1.18386e-03 	 1.33300e+00 
2.96320e+02 	 -1.91972e-02 	 1.06260e-03 	 -9.92276e-07 	 1.18322e-03 	 2.34700e+00 
2.96320e+02 	 -2.09982e-02 	 1.06148e-03 	 -1.08537e-06 	 1.18319e-03 	 3.34900e+00 
2.96309e+02 	 -2.50052e-02 	 1.06165e-03 	 -1.29246e-06 	 1.18263e-03 	 4.35000e+00 
2.96290e+02 	 -2.48366e-02 	 1.06040e-03 	 -1.28372e-06 	 1.18167e-03 	 5.35000e+00 
2.96284e+02 	 -2.93756e-02 	 1.06023e-03 	 -1.51832e-06 	 1.18133e-03 	 6.36300e+00 
2.96270e+02 	 -3.07507e-02 	 1.05932e-03 	 -1.58936e-06 	 1.18060e-03 	 7.37900e+00 
2.96252e+02 	 -3.42464e-02 	 1.05886e-03 	 -1.77000e-06 	 1.17968e-03 	 8.38100e+00 
2.96228e+02 	 -4.22838e-02 	 1.05757e-03 	 -2.18535e-06 	 1.17846e-03 	 9.38200e+00 
2.96198e+02 	 -4.70188e-02 	 1.05600e-03 	 -2.42998e-06 	 1.17689e-03 	 1.03990e+01 
2.96168e+02 	 -5.78550e-02 	 1.05470e-03 	 -2.98990e-06 	 1.17533e-03 	 1.13840e+01 
2.96113e+02 	 -6.64170e-02 	 1.05239e-03 	 -3.43216e-06 	 1.17248e-03 	 1.23990e+01 
2.96053e+02 	 -7.91158e-02 	 1.04937e-03 	 -4.08809e-06 	 1.16937e-03 	 1.34100e+01 
2.96005e+02 	 -9.23211e-02 	 1.04572e-03 	 -4.77017e-06 	 1.16689e-03 	 1.44150e+01 
2.95911e+02 	 -1.05122e-01 	 1.04151e-03 	 -5.43097e-06 	 1.16202e-03 	 1.54160e+01 
2.95825e+02 	 -1.22222e-01 	 1.03734e-03 	 -6.31379e-06 	 1.15754e-03 	 1.64160e+01 
2.95717e+02 	 -1.39496e-01 	 1.03198e-03 	 -7.20525e-06 	 1.15199e-03 	 1.74320e+01 
2.95578e+02 	 -1.54575e-01 	 1.02479e-03 	 -7.98280e-06 	 1.14479e-03 	 1.84160e+01 
2.95440e+02 	 -1.70378e-01 	 1.01904e-03 	 -8.79748e-06 	 1.13760e-03 	 1.94470e+01 
2.95290e+02 	 -1.91708e-01 	 1.01011e-03 	 -9.89713e-06 	 1.12984e-03 	 2.04610e+01 
2.95111e+02 	 -2.08416e-01 	 1.00054e-03 	 -1.07574e-05 	 1.12057e-03 	 2.14630e+01 
2.94902e+02 	 -2.24756e-01 	 9.93317e-04 	 -1.15980e-05 	 1.10978e-03 	 2.24640e+01 
2.94730e+02 	 -2.40707e-01 	 9.81706e-04 	 -1.24185e-05 	 1.10083e-03 	 2.34640e+01 
2.94503e+02 	 -2.54824e-01 	 9.71484e-04 	 -1.31434e-05 	 1.08908e-03 	 2.44650e+01 
2.94262e+02 	 -2.70996e-01 	 9.59158e-04 	 -1.39735e-05 	 1.07661e-03 	 2.54800e+01 
2.94022e+02 	 -2.84287e-01 	 9.46331e-04 	 -1.46548e-05 	 1.06418e-03 	 2.64800e+01 
2.93774e+02 	 -3.02128e-01 	 9.34213e-04 	 -1.55699e-05 	 1.05134e-03 	 2.74810e+01 
2.93510e+02 	 -3.24493e-01 	 9.19306e-04 	 -1.67173e-05 	 1.03765e-03 	 2.84800e+01 
2.93198e+02 	 -3.45352e-01 	 9.03654e-04 	 -1.77854e-05 	 1.02147e-03 	 2.94940e+01 
2.92869e+02 	 -3.70791e-01 	 8.88961e-04 	 -1.90882e-05 	 1.00461e-03 	 3.04960e+01 
2.92570e+02 	 -3.96457e-01 	 8.70651e-04 	 -2.04024e-05 	 9.89300e-04 	 3.15080e+01 
2.92168e+02 	 -4.22373e-01 	 8.50975e-04 	 -2.17260e-05 	 9.68742e-04 	 3.25230e+01 
2.91758e+02 	 -4.34698e-01 	 8.33845e-04 	 -2.23494e-05 	 9.47738e-04 	 3.35230e+01 
2.91399e+02 	 -4.57989e-01 	 8.12477e-04 	 -2.35371e-05 	 9.29373e-04 	 3.45410e+01 
2.90982e+02 	 -4.68298e-01 	 7.89887e-04 	 -2.40553e-05 	 9.08011e-04 	 3.55400e+01 
2.90494e+02 	 -4.82446e-01 	 7.70485e-04 	 -2.47681e-05 	 8.82995e-04 	 3.65420e+01 
2.90100e+02 	 -5.02341e-01 	 7.47585e-04 	 -2.57777e-05 	 8.62855e-04 	 3.75420e+01 
2.89629e+02 	 -5.11809e-01 	 7.22337e-04 	 -2.62493e-05 	 8.38727e-04 	 3.85580e+01 
2.89136e+02 	 -5.22330e-01 	 7.01570e-04 	 -2.67737e-05 	 8.13508e-04 	 3.95580e+01 
2.88715e+02 	 -5.25863e-01 	 6.75440e-04 	 -2.69417e-05 	 7.91925e-04 	 4.05570e+01 
2.88210e+02 	 -5.32080e-01 	 6.53893e-04 	 -2.72444e-05 	 7.66063e-04 	 4.15710e+01 
2.87709e+02 	 -5.35999e-01 	 6.29246e-04 	 -2.74312e-05 	 7.40403e-04 	 4.25880e+01 
2.87284e+02 	 -5.45040e-01 	 6.03735e-04 	 -2.78822e-05 	 7.18677e-04 	 4.36040e+01 
2.86761e+02 	 -5.51543e-01 	 5.81050e-04 	 -2.82002e-05 	 6.91861e-04 	 4.46050e+01 
2.86311e+02 	 -5.54108e-01 	 5.54329e-04 	 -2.83187e-05 	 6.68847e-04 	 4.55890e+01 
2.85783e+02 	 -5.54909e-01 	 5.27155e-04 	 -2.83449e-05 	 6.41817e-04 	 4.66040e+01 
2.85262e+02 	 -5.57572e-01 	 5.05203e-04 	 -2.84662e-05 	 6.15144e-04 	 4.76200e+01 
