# Red box data 
# water test2
# t0: 2022              2             21             13             46         10.817
# T [K] 	 dTdt [K/s] 	 V [Volt] 	 dV/dt [Volt/s] 	 IntdTdt [V] 	 etime [s] 
2.93968e+02 	 -9.13067e-01 	 9.46414e-04 	 -4.70649e-05 	 1.06140e-03 	 1.33400e+00 
2.93221e+02 	 -9.57260e-01 	 9.07260e-04 	 -4.92996e-05 	 1.02267e-03 	 2.33300e+00 
2.92294e+02 	 -9.59360e-01 	 8.60023e-04 	 -4.93548e-05 	 9.75168e-04 	 3.34700e+00 
2.91377e+02 	 -9.59099e-01 	 8.13335e-04 	 -4.92890e-05 	 9.28205e-04 	 4.35900e+00 
2.90580e+02 	 -9.86449e-01 	 7.72566e-04 	 -5.06480e-05 	 8.87442e-04 	 5.35900e+00 
2.89397e+02 	 -1.36989e+00 	 7.18069e-04 	 -7.02390e-05 	 8.26865e-04 	 6.36100e+00 
2.86733e+02 	 -2.57041e+00 	 6.22594e-04 	 -1.31420e-04 	 6.90466e-04 	 7.36200e+00 
2.83877e+02 	 -2.58001e+00 	 4.92841e-04 	 -1.31539e-04 	 5.44208e-04 	 8.34700e+00 
2.81206e+02 	 -2.58667e+00 	 3.62509e-04 	 -1.31535e-04 	 4.08447e-04 	 9.36500e+00 
2.78856e+02 	 -2.59246e+00 	 2.51168e-04 	 -1.31528e-04 	 2.89297e-04 	 1.03650e+01 
2.77144e+02 	 -2.59610e+00 	 1.20670e-04 	 -1.31463e-04 	 2.02519e-04 	 1.13790e+01 
2.75406e+02 	 -1.89372e+00 	 9.68560e-06 	 -9.56951e-05 	 1.14357e-04 	 1.23930e+01 
2.73472e+02 	 -2.11351e+00 	 -7.03334e-05 	 -1.06555e-04 	 1.63434e-05 	 1.34090e+01 
2.71359e+02 	 -2.61317e+00 	 -1.86753e-04 	 -1.31416e-04 	 -8.97288e-05 	 1.44090e+01 
2.67945e+02 	 -2.62627e+00 	 -3.16948e-04 	 -1.31537e-04 	 -2.60794e-04 	 1.54080e+01 
2.62381e+02 	 -2.64677e+00 	 -4.27920e-04 	 -1.31523e-04 	 -5.39005e-04 	 1.64210e+01 
2.56664e+02 	 -2.67556e+00 	 -5.58096e-04 	 -1.31889e-04 	 -8.21388e-04 	 1.74380e+01 
2.46282e+02 	 -2.71671e+00 	 -6.89632e-04 	 -1.31889e-04 	 -1.32946e-03 	 1.84380e+01 
2.30989e+02 	 -2.79134e+00 	 -8.00818e-04 	 -1.31890e-04 	 -2.06257e-03 	 1.94530e+01 
2.16798e+02 	 -2.86431e+00 	 -9.31954e-04 	 -1.31891e-04 	 -2.72446e-03 	 2.04380e+01 
2.00809e+02 	 -2.96839e+00 	 -1.04368e-03 	 -1.31896e-04 	 -3.44747e-03 	 2.14550e+01 
1.87576e+02 	 -3.07914e+00 	 -1.17422e-03 	 -1.31893e-04 	 -4.02513e-03 	 2.24540e+01 
1.72254e+02 	 -3.22054e+00 	 -1.30457e-03 	 -1.31892e-04 	 -4.66920e-03 	 2.34690e+01 
1.56958e+02 	 -3.40596e+00 	 -1.41659e-03 	 -1.31894e-04 	 -5.27788e-03 	 2.44850e+01 
1.44361e+02 	 -3.58197e+00 	 -1.54726e-03 	 -1.31896e-04 	 -5.75559e-03 	 2.54860e+01 
1.30849e+02 	 -3.81956e+00 	 -1.67742e-03 	 -1.31897e-04 	 -6.23746e-03 	 2.64850e+01 
1.19206e+02 	 -4.08426e+00 	 -1.78959e-03 	 -1.31897e-04 	 -6.62659e-03 	 2.75000e+01 
1.10837e+02 	 -4.30009e+00 	 -1.92029e-03 	 -1.31897e-04 	 -6.89085e-03 	 2.85000e+01 
1.02854e+02 	 -4.55540e+00 	 -2.05055e-03 	 -1.31900e-04 	 -7.13128e-03 	 2.95130e+01 
9.62963e+01 	 -4.79630e+00 	 -2.16255e-03 	 -1.31902e-04 	 -7.31490e-03 	 3.05310e+01 
9.22663e+01 	 -4.97881e+00 	 -2.29272e-03 	 -1.31903e-04 	 -7.42562e-03 	 3.15300e+01 
8.98721e+01 	 -5.07978e+00 	 -2.42355e-03 	 -1.31902e-04 	 -7.48692e-03 	 3.25470e+01 
8.98024e+01 	 -5.08277e+00 	 -2.53512e-03 	 -1.31904e-04 	 -7.48870e-03 	 3.35440e+01 
9.09424e+01 	 -5.03474e+00 	 -2.66616e-03 	 -1.31905e-04 	 -7.45952e-03 	 3.45610e+01 
9.31280e+01 	 -4.94268e+00 	 -2.79654e-03 	 -1.31909e-04 	 -7.40356e-03 	 3.55760e+01 
9.52811e+01 	 -4.84351e+00 	 -2.90866e-03 	 -1.31912e-04 	 -7.34333e-03 	 3.65920e+01 
9.70767e+01 	 -4.76068e+00 	 -3.03833e-03 	 -1.31912e-04 	 -7.29305e-03 	 3.75900e+01 
9.90298e+01 	 -4.68207e+00 	 -3.16950e-03 	 -1.31911e-04 	 -7.23836e-03 	 3.86050e+01 
1.00782e+02 	 -4.62429e+00 	 -3.28119e-03 	 -1.31914e-04 	 -7.18931e-03 	 3.96200e+01 
1.02184e+02 	 -4.57790e+00 	 -3.41173e-03 	 -1.31911e-04 	 -7.15005e-03 	 4.06210e+01 
1.03651e+02 	 -4.52816e+00 	 -3.54225e-03 	 -1.31911e-04 	 -7.10787e-03 	 4.16210e+01 
1.04988e+02 	 -4.48066e+00 	 -3.65251e-03 	 -1.31915e-04 	 -7.06749e-03 	 4.26380e+01 
1.06076e+02 	 -4.44191e+00 	 -3.78497e-03 	 -1.31914e-04 	 -7.03465e-03 	 4.36390e+01 
1.07301e+02 	 -4.39829e+00 	 -3.91531e-03 	 -1.31915e-04 	 -6.99763e-03 	 4.46530e+01 
1.08466e+02 	 -4.36020e+00 	 -4.02708e-03 	 -1.31917e-04 	 -6.96246e-03 	 4.56680e+01 
1.09440e+02 	 -4.33565e+00 	 -4.15697e-03 	 -1.31913e-04 	 -6.93303e-03 	 4.66830e+01 
1.10530e+02 	 -4.30837e+00 	 -4.28748e-03 	 -1.31915e-04 	 -6.90011e-03 	 4.76980e+01 
1.11615e+02 	 -4.28128e+00 	 -4.39984e-03 	 -1.31917e-04 	 -6.86737e-03 	 4.87010e+01 
1.12519e+02 	 -4.25858e+00 	 -4.53029e-03 	 -1.31916e-04 	 -6.84007e-03 	 4.96960e+01 
1.13516e+02 	 -4.23308e+00 	 -4.66049e-03 	 -1.31919e-04 	 -6.80925e-03 	 5.07110e+01 
1.14475e+02 	 -4.20758e+00 	 -4.77278e-03 	 -1.31920e-04 	 -6.77846e-03 	 5.17120e+01 
1.15293e+02 	 -4.18564e+00 	 -4.90287e-03 	 -1.31915e-04 	 -6.75222e-03 	 5.27120e+01 
1.16233e+02 	 -4.16068e+00 	 -5.03321e-03 	 -1.31918e-04 	 -6.72203e-03 	 5.37270e+01 
1.17018e+02 	 -4.13980e+00 	 -5.14488e-03 	 -1.31920e-04 	 -6.69683e-03 	 5.47120e+01 
1.17932e+02 	 -4.11547e+00 	 -5.27579e-03 	 -1.31920e-04 	 -6.66751e-03 	 5.57280e+01 
1.18833e+02 	 -4.09377e+00 	 -5.38753e-03 	 -1.31922e-04 	 -6.63859e-03 	 5.67270e+01 
1.19582e+02 	 -4.07622e+00 	 -5.51820e-03 	 -1.31921e-04 	 -6.61454e-03 	 5.77430e+01 
1.20474e+02 	 -4.05548e+00 	 -5.64828e-03 	 -1.31925e-04 	 -6.58590e-03 	 5.87590e+01 
1.21348e+02 	 -4.03504e+00 	 -5.76037e-03 	 -1.31924e-04 	 -6.55785e-03 	 5.97570e+01 
1.22081e+02 	 -4.01798e+00 	 -5.89116e-03 	 -1.31927e-04 	 -6.53431e-03 	 6.07590e+01 
1.22938e+02 	 -3.99797e+00 	 -6.02174e-03 	 -1.31928e-04 	 -6.50679e-03 	 6.17750e+01 
1.23750e+02 	 -3.97802e+00 	 -6.13371e-03 	 -1.31925e-04 	 -6.47953e-03 	 6.27750e+01 
1.24427e+02 	 -3.96132e+00 	 -6.26349e-03 	 -1.31928e-04 	 -6.45645e-03 	 6.37900e+01 
1.25221e+02 	 -3.94163e+00 	 -6.39455e-03 	 -1.31929e-04 	 -6.42939e-03 	 6.47900e+01 
1.25841e+02 	 -1.34913e+00 	 -6.49964e-03 	 -4.53335e-05 	 -6.40823e-03 	 6.57900e+01 
1.26181e+02 	 4.44396e-01 	 -6.49368e-03 	 1.49648e-05 	 -6.39663e-03 	 6.67900e+01 
1.26710e+02 	 5.74975e-01 	 -6.47626e-03 	 1.94271e-05 	 -6.37859e-03 	 6.78060e+01 
1.27360e+02 	 6.57180e-01 	 -6.45792e-03 	 2.22968e-05 	 -6.35642e-03 	 6.88230e+01 
1.27960e+02 	 7.00365e-01 	 -6.43519e-03 	 2.38533e-05 	 -6.33599e-03 	 6.98210e+01 
1.28675e+02 	 7.16643e-01 	 -6.41051e-03 	 2.44971e-05 	 -6.31161e-03 	 7.08380e+01 
1.29429e+02 	 7.24813e-01 	 -6.38966e-03 	 2.48635e-05 	 -6.28588e-03 	 7.18360e+01 
1.30038e+02 	 7.25589e-01 	 -6.36446e-03 	 2.49610e-05 	 -6.26510e-03 	 7.28520e+01 
1.30709e+02 	 7.23085e-01 	 -6.33975e-03 	 2.49531e-05 	 -6.24223e-03 	 7.38510e+01 
1.31496e+02 	 7.18139e-01 	 -6.31862e-03 	 2.48741e-05 	 -6.21540e-03 	 7.48680e+01 
1.32109e+02 	 7.12246e-01 	 -6.29371e-03 	 2.47414e-05 	 -6.19450e-03 	 7.58850e+01 
1.32844e+02 	 7.07105e-01 	 -6.26955e-03 	 2.46484e-05 	 -6.16942e-03 	 7.68850e+01 
1.33526e+02 	 6.99965e-01 	 -6.24845e-03 	 2.44807e-05 	 -6.14555e-03 	 7.78860e+01 
1.34124e+02 	 6.91881e-01 	 -6.22388e-03 	 2.42704e-05 	 -6.12411e-03 	 7.89020e+01 
1.34808e+02 	 6.86391e-01 	 -6.19918e-03 	 2.41605e-05 	 -6.09964e-03 	 7.99050e+01 
1.35376e+02 	 6.80429e-01 	 -6.17920e-03 	 2.40191e-05 	 -6.07931e-03 	 8.08880e+01 
1.36040e+02 	 6.73066e-01 	 -6.15565e-03 	 2.38389e-05 	 -6.05553e-03 	 8.19210e+01 
1.36704e+02 	 6.67278e-01 	 -6.13511e-03 	 2.37135e-05 	 -6.03176e-03 	 8.29210e+01 
1.37258e+02 	 6.60145e-01 	 -6.11202e-03 	 2.35260e-05 	 -6.01193e-03 	 8.39370e+01 
1.37914e+02 	 6.54461e-01 	 -6.08882e-03 	 2.34015e-05 	 -5.98844e-03 	 8.49220e+01 
1.38565e+02 	 6.47013e-01 	 -6.06870e-03 	 2.32057e-05 	 -5.96514e-03 	 8.59410e+01 
1.39111e+02 	 6.42691e-01 	 -6.04537e-03 	 2.31067e-05 	 -5.94558e-03 	 8.69400e+01 
1.39762e+02 	 6.35596e-01 	 -6.02311e-03 	 2.29179e-05 	 -5.92229e-03 	 8.79410e+01 
1.40397e+02 	 6.30922e-01 	 -6.00349e-03 	 2.28140e-05 	 -5.89954e-03 	 8.89400e+01 
1.40949e+02 	 6.27028e-01 	 -5.98025e-03 	 2.27293e-05 	 -5.87980e-03 	 8.99390e+01 
1.41570e+02 	 6.20353e-01 	 -5.95785e-03 	 2.25502e-05 	 -5.85756e-03 	 9.09700e+01 
1.42210e+02 	 6.16362e-01 	 -5.93894e-03 	 2.24697e-05 	 -5.83466e-03 	 9.19720e+01 
1.42737e+02 	 6.11632e-01 	 -5.91654e-03 	 2.23504e-05 	 -5.81579e-03 	 9.29680e+01 
1.43350e+02 	 6.06079e-01 	 -5.89715e-03 	 2.22100e-05 	 -5.79351e-03 	 9.39820e+01 
1.43932e+02 	 6.01640e-01 	 -5.87524e-03 	 2.21084e-05 	 -5.77166e-03 	 9.49980e+01 
1.44444e+02 	 5.97435e-01 	 -5.85378e-03 	 2.20075e-05 	 -5.75249e-03 	 9.60120e+01 
1.45034e+02 	 5.93913e-01 	 -5.83269e-03 	 2.19396e-05 	 -5.73035e-03 	 9.70130e+01 
1.45527e+02 	 5.91848e-01 	 -5.81252e-03 	 2.19150e-05 	 -5.71187e-03 	 9.80130e+01 
1.46102e+02 	 5.87272e-01 	 -5.79085e-03 	 2.18058e-05 	 -5.69029e-03 	 9.90310e+01 
1.46689e+02 	 5.82422e-01 	 -5.77256e-03 	 2.16868e-05 	 -5.66829e-03 	 1.00016e+02 
1.47192e+02 	 5.79780e-01 	 -5.75110e-03 	 2.16411e-05 	 -5.64941e-03 	 1.01031e+02 
1.47762e+02 	 5.74957e-01 	 -5.72920e-03 	 2.15203e-05 	 -5.62806e-03 	 1.02046e+02 
1.48317e+02 	 5.70359e-01 	 -5.71098e-03 	 2.14011e-05 	 -5.60724e-03 	 1.03046e+02 
1.48821e+02 	 5.65294e-01 	 -5.68979e-03 	 2.12489e-05 	 -5.58833e-03 	 1.04061e+02 
1.49375e+02 	 5.60941e-01 	 -5.66893e-03 	 2.11267e-05 	 -5.56758e-03 	 1.05076e+02 
1.49951e+02 	 5.57952e-01 	 -5.65078e-03 	 2.10572e-05 	 -5.54594e-03 	 1.06092e+02 
1.50428e+02 	 5.53827e-01 	 -5.62925e-03 	 2.09370e-05 	 -5.52806e-03 	 1.07092e+02 
1.50983e+02 	 5.50070e-01 	 -5.60961e-03 	 2.08362e-05 	 -5.50726e-03 	 1.08093e+02 
1.51542e+02 	 5.47304e-01 	 -5.59125e-03 	 2.07728e-05 	 -5.48632e-03 	 1.09108e+02 
1.52014e+02 	 5.43461e-01 	 -5.57043e-03 	 2.06618e-05 	 -5.46860e-03 	 1.10109e+02 
1.52552e+02 	 5.40105e-01 	 -5.54863e-03 	 2.05739e-05 	 -5.44844e-03 	 1.11108e+02 
1.53112e+02 	 5.36851e-01 	 -5.52930e-03 	 2.04912e-05 	 -5.42741e-03 	 1.12110e+02 
1.53559e+02 	 5.32697e-01 	 -5.51227e-03 	 2.03665e-05 	 -5.41008e-03 	 1.13124e+02 
1.54070e+02 	 5.30669e-01 	 -5.49196e-03 	 2.03277e-05 	 -5.39020e-03 	 1.14124e+02 
1.54601e+02 	 5.26865e-01 	 -5.47414e-03 	 2.02222e-05 	 -5.36954e-03 	 1.15138e+02 
1.55048e+02 	 5.23195e-01 	 -5.45484e-03 	 2.01150e-05 	 -5.35219e-03 	 1.16155e+02 
1.55553e+02 	 5.20247e-01 	 -5.43444e-03 	 2.00398e-05 	 -5.33252e-03 	 1.17171e+02 
1.56063e+02 	 5.16718e-01 	 -5.41731e-03 	 1.99421e-05 	 -5.31267e-03 	 1.18171e+02 
1.56516e+02 	 5.13999e-01 	 -5.39741e-03 	 1.98712e-05 	 -5.29504e-03 	 1.19184e+02 
1.57013e+02 	 5.09812e-01 	 -5.37788e-03 	 1.97463e-05 	 -5.27574e-03 	 1.20201e+02 
