T[K] ; dTdt [K/s] ; V [Volt] ; dV/dt [Volt/s] ; IntdTdt [V] ; etime [s] 
3.00166e+02 ; -1.74806e-02 ; 1.26342e-03 ; -9.06890e-07 ; 1.38245e-03 ; 1.39700e+00 
3.00166e+02 ; -1.58163e-02 ; 1.26342e-03 ; -8.20547e-07 ; 1.38245e-03 ; 2.39500e+00 
3.00166e+02 ; -2.02553e-02 ; 1.26342e-03 ; -1.05084e-06 ; 1.38245e-03 ; 3.39600e+00 
3.00108e+02 ; -2.44190e-02 ; 1.26038e-03 ; -1.26680e-06 ; 1.37940e-03 ; 4.39600e+00 
3.00108e+02 ; -4.13448e-02 ; 1.26038e-03 ; -2.14487e-06 ; 1.37940e-03 ; 5.42700e+00 
3.00049e+02 ; -8.32489e-02 ; 1.26037e-03 ; -4.31855e-06 ; 1.37635e-03 ; 6.44200e+00 
2.99931e+02 ; -1.85383e-01 ; 1.25427e-03 ; -9.61592e-06 ; 1.37025e-03 ; 7.44100e+00 
2.99695e+02 ; -4.23016e-01 ; 1.24206e-03 ; -2.19381e-05 ; 1.35803e-03 ; 8.45000e+00 
2.99047e+02 ; -7.23705e-01 ; 1.21460e-03 ; -3.75136e-05 ; 1.32447e-03 ; 9.46600e+00 
2.98046e+02 ; -1.13646e+00 ; 1.16577e-03 ; -5.88615e-05 ; 1.27259e-03 ; 1.04790e+01 
2.96632e+02 ; -1.56430e+00 ; 1.10779e-03 ; -8.08860e-05 ; 1.19935e-03 ; 1.14940e+01 
2.95159e+02 ; -1.99230e+00 ; 1.02233e-03 ; -1.02838e-04 ; 1.12305e-03 ; 1.25090e+01 
2.92977e+02 ; -2.34409e+00 ; 9.30780e-04 ; -1.20688e-04 ; 1.01014e-03 ; 1.35060e+01 
2.90593e+02 ; -2.55887e+00 ; 8.11762e-04 ; -1.31384e-04 ; 8.88061e-04 ; 1.45200e+01 
2.88328e+02 ; -2.57035e+00 ; 6.80542e-04 ; -1.31629e-04 ; 7.72095e-04 ; 1.55500e+01 
2.85407e+02 ; -2.57899e+00 ; 5.52362e-04 ; -1.31686e-04 ; 6.22558e-04 ; 1.65630e+01 
2.81998e+02 ; -2.58878e+00 ; 4.36401e-04 ; -1.31744e-04 ; 4.48614e-04 ; 1.75800e+01 
2.78868e+02 ; -2.59753e+00 ; 3.08227e-04 ; -1.31787e-04 ; 2.89917e-04 ; 1.85810e+01 
2.74775e+02 ; -2.60849e+00 ; 1.80048e-04 ; -1.31715e-04 ; 8.23974e-05 ; 1.95960e+01 
2.70896e+02 ; -2.62771e+00 ; 6.71386e-05 ; -1.32075e-04 ; -1.12909e-04 ; 2.06080e+01 
2.67485e+02 ; -2.63873e+00 ; -6.10410e-05 ; -1.32075e-04 ; -2.83813e-04 ; 2.16250e+01 
2.63343e+02 ; -2.65402e+00 ; -1.95318e-04 ; -1.32061e-04 ; -4.91327e-04 ; 2.26250e+01 
2.59021e+02 ; -2.67035e+00 ; -3.08227e-04 ; -1.32075e-04 ; -7.04950e-04 ; 2.36410e+01 
2.55315e+02 ; -2.68455e+00 ; -4.39453e-04 ; -1.32075e-04 ; -8.88055e-04 ; 2.46560e+01 
