Column1;Column2;Column3;Column4;Column5;Column6
# Red box data ;;;;;
# slow cooling cycle (mol con 0.50);;;;;
# t0: 2022              3              8             16             16         32.004;;;;;
# T [K] ; dTdt [K/s] ; V [Volt] ; dV/dt [Volt/s] ; IntdTdt [V] ; etime [s] 
2.94758e+02 ; -3.74045e-03 ; 9.80878e-04 ; -1.92984e-07 ; 1.10229e-03 ; 1.33300e+00 
2.94766e+02 ; -4.45754e-03 ; 9.81283e-04 ; -2.29983e-07 ; 1.10270e-03 ; 2.33500e+00 
2.94767e+02 ; -6.66397e-03 ; 9.81754e-04 ; -3.43823e-07 ; 1.10278e-03 ; 3.32000e+00 
2.94770e+02 ; -6.62525e-03 ; 9.81921e-04 ; -3.41826e-07 ; 1.10292e-03 ; 4.33700e+00 
2.94779e+02 ; -7.32979e-03 ; 9.82141e-04 ; -3.78180e-07 ; 1.10337e-03 ; 5.33300e+00 
2.94789e+02 ; -7.78469e-03 ; 9.82451e-04 ; -4.01656e-07 ; 1.10388e-03 ; 6.33700e+00 
2.94792e+02 ; -7.45172e-03 ; 9.82976e-04 ; -3.84477e-07 ; 1.10404e-03 ; 7.33600e+00 
2.94798e+02 ; -7.60860e-03 ; 9.83244e-04 ; -3.92575e-07 ; 1.10437e-03 ; 8.35200e+00 
2.94803e+02 ; -8.81008e-03 ; 9.83202e-04 ; -4.54569e-07 ; 1.10464e-03 ; 9.36600e+00 
2.94807e+02 ; -9.71841e-03 ; 9.83572e-04 ; -5.01438e-07 ; 1.10483e-03 ; 1.03660e+01 
2.94808e+02 ; -1.06164e-02 ; 9.83435e-04 ; -5.47772e-07 ; 1.10487e-03 ; 1.13810e+01 
2.94810e+02 ; -1.11602e-02 ; 9.83620e-04 ; -5.75831e-07 ; 1.10499e-03 ; 1.23820e+01 
2.94816e+02 ; -1.18167e-02 ; 9.83620e-04 ; -6.09710e-07 ; 1.10531e-03 ; 1.33970e+01 
2.94818e+02 ; -1.24243e-02 ; 9.83715e-04 ; -6.41058e-07 ; 1.10540e-03 ; 1.43970e+01 
2.94813e+02 ; -1.15634e-02 ; 9.83852e-04 ; -5.96637e-07 ; 1.10516e-03 ; 1.54140e+01 
2.94824e+02 ; -1.21681e-02 ; 9.84037e-04 ; -6.27844e-07 ; 1.10571e-03 ; 1.64140e+01 
2.94818e+02 ; -1.18859e-02 ; 9.83751e-04 ; -6.13281e-07 ; 1.10542e-03 ; 1.74280e+01 
2.94816e+02 ; -1.67824e-02 ; 9.84383e-04 ; -8.65925e-07 ; 1.10529e-03 ; 1.84290e+01 
2.94812e+02 ; -2.62186e-02 ; 9.84079e-04 ; -1.35280e-06 ; 1.10511e-03 ; 1.94590e+01 
2.94796e+02 ; -2.95180e-02 ; 9.83125e-04 ; -1.52301e-06 ; 1.10424e-03 ; 2.04740e+01 
2.94777e+02 ; -3.28280e-02 ; 9.82189e-04 ; -1.69376e-06 ; 1.10328e-03 ; 2.14730e+01 
2.94757e+02 ; -3.02076e-02 ; 9.81372e-04 ; -1.55852e-06 ; 1.10226e-03 ; 2.24880e+01 
