T [K] ; dTdt [K/s] ; V [Volt] ; dV/dt [Volt/s] ; IntdTdt [V] ; etime [s] 
3.01935e+02 ; -2.56604e-02 ; 1.35469e-03 ; -1.33306e-06 ; 1.47409e-03 ; 1.31700e+00 
3.01914e+02 ; -2.63130e-02 ; 1.35397e-03 ; -1.36694e-06 ; 1.47296e-03 ; 2.26100e+00 
3.01901e+02 ; -2.38058e-02 ; 1.35306e-03 ; -1.23668e-06 ; 1.47231e-03 ; 3.31800e+00 
3.01895e+02 ; -2.42205e-02 ; 1.35296e-03 ; -1.25822e-06 ; 1.47198e-03 ; 4.32600e+00 
3.01874e+02 ; -2.53055e-02 ; 1.35227e-03 ; -1.31456e-06 ; 1.47090e-03 ; 5.33300e+00 
3.01864e+02 ; -2.49664e-02 ; 1.35175e-03 ; -1.29693e-06 ; 1.47039e-03 ; 6.33000e+00 
3.01857e+02 ; -2.58336e-02 ; 1.35058e-03 ; -1.34198e-06 ; 1.47001e-03 ; 7.33100e+00 
3.01842e+02 ; -2.63188e-02 ; 1.35028e-03 ; -1.36717e-06 ; 1.46927e-03 ; 8.33300e+00 
3.01823e+02 ; -2.70688e-02 ; 1.34969e-03 ; -1.40611e-06 ; 1.46825e-03 ; 9.34800e+00 
3.01806e+02 ; -2.70383e-02 ; 1.34882e-03 ; -1.40450e-06 ; 1.46740e-03 ; 1.03450e+01 
3.01797e+02 ; -2.77849e-02 ; 1.34867e-03 ; -1.44328e-06 ; 1.46693e-03 ; 1.13040e+01 
3.01788e+02 ; -2.71367e-02 ; 1.34812e-03 ; -1.40959e-06 ; 1.46645e-03 ; 1.23650e+01 
3.01768e+02 ; -2.78737e-02 ; 1.34718e-03 ; -1.44786e-06 ; 1.46541e-03 ; 1.33710e+01 
3.01765e+02 ; -2.80216e-02 ; 1.34641e-03 ; -1.45553e-06 ; 1.46527e-03 ; 1.43750e+01 
3.01743e+02 ; -2.71912e-02 ; 1.34525e-03 ; -1.41238e-06 ; 1.46410e-03 ; 1.53820e+01 
3.01736e+02 ; -2.74614e-02 ; 1.34450e-03 ; -1.42641e-06 ; 1.46378e-03 ; 1.63280e+01 
3.01695e+02 ; -4.30219e-02 ; 1.34315e-03 ; -2.23458e-06 ; 1.46165e-03 ; 1.73880e+01 
3.01483e+02 ; -3.29265e-01 ; 1.33858e-03 ; -1.70994e-05 ; 1.45065e-03 ; 1.83950e+01 
3.00401e+02 ; -1.82686e+00 ; 1.29227e-03 ; -9.47941e-05 ; 1.39462e-03 ; 1.94060e+01 
2.97897e+02 ; -2.54118e+00 ; 1.17261e-03 ; -1.31594e-04 ; 1.26492e-03 ; 2.04150e+01 
2.94520e+02 ; -2.55417e+00 ; 1.06120e-03 ; -1.31742e-04 ; 1.08996e-03 ; 2.14200e+01 
2.91229e+02 ; -2.56516e+00 ; 9.30917e-04 ; -1.31803e-04 ; 9.20659e-04 ; 2.24220e+01 
2.87839e+02 ; -2.57443e+00 ; 8.19558e-04 ; -1.31770e-04 ; 7.47090e-04 ; 2.33650e+01 
2.84297e+02 ; -2.58950e+00 ; 6.88279e-04 ; -1.32078e-04 ; 5.65720e-04 ; 2.44240e+01 
2.81302e+02 ; -2.59714e+00 ; 5.57911e-04 ; -1.32080e-04 ; 4.13304e-04 ; 2.54150e+01 
2.78883e+02 ; -2.60333e+00 ; 4.45145e-04 ; -1.32083e-04 ; 2.90680e-04 ; 2.64350e+01 
2.77168e+02 ; -2.60826e+00 ; 3.15022e-04 ; -1.32082e-04 ; 2.03699e-04 ; 2.74250e+01 
2.75476e+02 ; -2.61354e+00 ; 1.83988e-04 ; -1.32081e-04 ; 1.17904e-04 ; 2.84430e+01 
2.73922e+02 ; -2.61850e+00 ; 7.17162e-05 ; -1.32085e-04 ; 3.91184e-05 ; 2.94520e+01 
