T [K] ; dTdt [K/s] ; V [Volt] ; dV/dt [Volt/s] ; IntdTdt [V] ; etime [s] 
3.00409e+02 ; -3.50782e-03 ; 1.27522e-03 ; -1.82019e-07 ; 1.39503e-03 ; 1.31100e+00 
3.00421e+02 ; -2.65820e-03 ; 1.27563e-03 ; -1.37934e-07 ; 1.39562e-03 ; 2.31600e+00 
3.00422e+02 ; -1.80427e-03 ; 1.27583e-03 ; -9.36236e-08 ; 1.39567e-03 ; 3.32600e+00 
3.00437e+02 ; -2.63702e-03 ; 1.27712e-03 ; -1.36837e-07 ; 1.39648e-03 ; 4.34900e+00 
3.00450e+02 ; -2.23172e-03 ; 1.27761e-03 ; -1.15807e-07 ; 1.39713e-03 ; 5.29400e+00 
3.00457e+02 ; -2.92578e-03 ; 1.27796e-03 ; -1.51823e-07 ; 1.39748e-03 ; 6.35100e+00 
3.00466e+02 ; -3.42097e-03 ; 1.27903e-03 ; -1.77520e-07 ; 1.39794e-03 ; 7.29400e+00 
3.00474e+02 ; -4.20006e-03 ; 1.27859e-03 ; -2.17950e-07 ; 1.39841e-03 ; 8.35300e+00 
3.00487e+02 ; -4.44112e-03 ; 1.27921e-03 ; -2.30461e-07 ; 1.39908e-03 ; 9.35600e+00 
3.00494e+02 ; -3.98328e-03 ; 1.27958e-03 ; -2.06704e-07 ; 1.39940e-03 ; 1.03510e+01 
3.00493e+02 ; -3.99792e-03 ; 1.28029e-03 ; -2.07463e-07 ; 1.39936e-03 ; 1.13070e+01 
3.00516e+02 ; -4.18259e-03 ; 1.28022e-03 ; -2.17050e-07 ; 1.40055e-03 ; 1.23680e+01 
3.00530e+02 ; -3.86560e-03 ; 1.28074e-03 ; -2.00603e-07 ; 1.40131e-03 ; 1.33700e+01 
3.00528e+02 ; -5.61069e-03 ; 1.28130e-03 ; -2.91162e-07 ; 1.40117e-03 ; 1.43770e+01 
3.00532e+02 ; -5.06077e-03 ; 1.28191e-03 ; -2.62625e-07 ; 1.40136e-03 ; 1.53800e+01 
3.00530e+02 ; -5.37610e-03 ; 1.28213e-03 ; -2.78989e-07 ; 1.40126e-03 ; 1.63270e+01 
3.00555e+02 ; -5.53311e-03 ; 1.28272e-03 ; -2.87142e-07 ; 1.40260e-03 ; 1.73870e+01 
3.00557e+02 ; -5.78123e-03 ; 1.28329e-03 ; -3.00019e-07 ; 1.40270e-03 ; 1.83910e+01 
3.00568e+02 ; -5.54497e-03 ; 1.28356e-03 ; -2.87760e-07 ; 1.40325e-03 ; 1.93940e+01 
3.00563e+02 ; -5.18418e-03 ; 1.28353e-03 ; -2.69036e-07 ; 1.40299e-03 ; 2.03830e+01 
3.00571e+02 ; -5.87706e-03 ; 1.28382e-03 ; -3.04995e-07 ; 1.40342e-03 ; 2.13480e+01 
3.00581e+02 ; -7.14204e-03 ; 1.28416e-03 ; -3.70645e-07 ; 1.40390e-03 ; 2.23940e+01 
3.00595e+02 ; -6.53248e-03 ; 1.28537e-03 ; -3.39015e-07 ; 1.40465e-03 ; 2.33970e+01 
3.00603e+02 ; -6.31412e-03 ; 1.28473e-03 ; -3.27685e-07 ; 1.40508e-03 ; 2.44160e+01 
3.00603e+02 ; -6.64078e-03 ; 1.28559e-03 ; -3.44638e-07 ; 1.40504e-03 ; 2.54240e+01 
3.00611e+02 ; -6.91867e-03 ; 1.28556e-03 ; -3.59061e-07 ; 1.40547e-03 ; 2.64270e+01 
3.00606e+02 ; -1.30757e-02 ; 1.28571e-03 ; -6.78592e-07 ; 1.40523e-03 ; 2.74340e+01 
3.00606e+02 ; -1.95350e-02 ; 1.28556e-03 ; -1.01381e-06 ; 1.40520e-03 ; 2.84390e+01 
3.00602e+02 ; -2.30987e-02 ; 1.28528e-03 ; -1.19876e-06 ; 1.40500e-03 ; 2.94420e+01 
3.00587e+02 ; -2.46944e-02 ; 1.28502e-03 ; -1.28156e-06 ; 1.40422e-03 ; 3.04450e+01 
3.00579e+02 ; -2.43825e-02 ; 1.28474e-03 ; -1.26536e-06 ; 1.40381e-03 ; 3.14480e+01 
3.00568e+02 ; -2.39271e-02 ; 1.28394e-03 ; -1.24172e-06 ; 1.40326e-03 ; 3.24560e+01 
3.00558e+02 ; -2.58213e-02 ; 1.28313e-03 ; -1.34001e-06 ; 1.40275e-03 ; 3.34610e+01 
3.00543e+02 ; -2.94986e-02 ; 1.28300e-03 ; -1.53083e-06 ; 1.40197e-03 ; 3.44100e+01 
3.00529e+02 ; -3.42721e-02 ; 1.28207e-03 ; -1.77852e-06 ; 1.40125e-03 ; 3.54700e+01 
