T [K] ; dTdt [K/s] ; V [Volt] ; dV/dt [Volt/s] ; IntdTdt [V] ; etime [s] 
2.94594e+02 ; -7.58262e-03 ; 9.75281e-04 ; -3.91141e-07 ; 1.09382e-03 ; 1.31900e+00 
2.94609e+02 ; -7.30725e-03 ; 9.75531e-04 ; -3.76942e-07 ; 1.09457e-03 ; 2.26200e+00 
2.94614e+02 ; -7.47890e-03 ; 9.76252e-04 ; -3.85799e-07 ; 1.09482e-03 ; 3.32300e+00 
2.94619e+02 ; -7.69087e-03 ; 9.76837e-04 ; -3.96736e-07 ; 1.09509e-03 ; 4.32900e+00 
2.94617e+02 ; -7.63584e-03 ; 9.76622e-04 ; -3.93896e-07 ; 1.09499e-03 ; 5.32000e+00 
2.94620e+02 ; -8.70625e-03 ; 9.77093e-04 ; -4.49115e-07 ; 1.09516e-03 ; 6.34000e+00 
2.94634e+02 ; -8.91049e-03 ; 9.77296e-04 ; -4.59658e-07 ; 1.09587e-03 ; 7.34500e+00 
2.94633e+02 ; -1.06573e-02 ; 9.77647e-04 ; -5.49768e-07 ; 1.09581e-03 ; 8.29900e+00 
2.94643e+02 ; -1.06337e-02 ; 9.76872e-04 ; -5.48559e-07 ; 1.09636e-03 ; 9.36200e+00 
2.94635e+02 ; -1.13631e-02 ; 9.78649e-04 ; -5.86177e-07 ; 1.09591e-03 ; 1.03080e+01 
2.94650e+02 ; -1.05829e-02 ; 9.78088e-04 ; -5.45944e-07 ; 1.09671e-03 ; 1.13650e+01 
2.94670e+02 ; -1.01767e-02 ; 9.78553e-04 ; -5.24998e-07 ; 1.09773e-03 ; 1.23190e+01 
2.94663e+02 ; -1.12880e-02 ; 9.78470e-04 ; -5.82325e-07 ; 1.09737e-03 ; 1.33640e+01 
2.94648e+02 ; -7.31182e-03 ; 9.78190e-04 ; -3.77195e-07 ; 1.09660e-03 ; 1.43900e+01 
2.94650e+02 ; -5.20808e-03 ; 9.79960e-04 ; -2.68670e-07 ; 1.09668e-03 ; 1.54040e+01 
2.94673e+02 ; -1.08960e-02 ; 9.80258e-04 ; -5.62110e-07 ; 1.09789e-03 ; 1.63900e+01 
2.94657e+02 ; -3.91628e-02 ; 9.79078e-04 ; -2.02032e-06 ; 1.09704e-03 ; 1.73940e+01 
2.94445e+02 ; -3.98679e-01 ; 9.71663e-04 ; -2.05617e-05 ; 1.08606e-03 ; 1.84230e+01 
2.93527e+02 ; -1.20787e+00 ; 9.33230e-04 ; -6.22286e-05 ; 1.03852e-03 ; 1.94370e+01 
2.91470e+02 ; -2.42830e+00 ; 8.52013e-04 ; -1.24806e-04 ; 9.32979e-04 ; 2.04510e+01 
2.89141e+02 ; -2.56155e+00 ; 7.43770e-04 ; -1.31301e-04 ; 8.13764e-04 ; 2.13990e+01 
2.85672e+02 ; -2.57283e+00 ; 6.13159e-04 ; -1.31406e-04 ; 6.36142e-04 ; 2.24560e+01 
2.82085e+02 ; -2.58164e+00 ; 4.83936e-04 ; -1.31392e-04 ; 4.53019e-04 ; 2.34660e+01 
2.77187e+02 ; -2.60105e+00 ; 3.53908e-04 ; -1.31720e-04 ; 2.04664e-04 ; 2.44700e+01 
2.73138e+02 ; -2.61368e+00 ; 2.41095e-04 ; -1.31718e-04 ; -5.96000e-07 ; 2.54270e+01 
2.68431e+02 ; -2.62816e+00 ; 1.11318e-04 ; -1.31715e-04 ; -2.36398e-04 ; 2.64690e+01 
2.64158e+02 ; -2.64399e+00 ; -1.87694e-05 ; -1.31713e-04 ; -4.50492e-04 ; 2.74890e+01 
2.60899e+02 ; -2.65610e+00 ; -1.32114e-04 ; -1.31714e-04 ; -6.12199e-04 ; 2.84270e+01 
2.57527e+02 ; -2.66863e+00 ; -2.62684e-04 ; -1.31712e-04 ; -7.78782e-04 ; 2.94950e+01 
2.54281e+02 ; -2.68117e+00 ; -3.93462e-04 ; -1.31712e-04 ; -9.39119e-04 ; 3.05020e+01 
2.51067e+02 ; -2.69353e+00 ; -5.05447e-04 ; -1.31715e-04 ; -1.09645e-03 ; 3.15080e+01 
2.48207e+02 ; -2.70437e+00 ; -6.35970e-04 ; -1.31713e-04 ; -1.23572e-03 ; 3.24570e+01 
2.44754e+02 ; -2.71999e+00 ; -7.66098e-04 ; -1.31710e-04 ; -1.40387e-03 ; 3.35170e+01 
2.41210e+02 ; -2.73603e+00 ; -8.78382e-04 ; -1.31712e-04 ; -1.57493e-03 ; 3.45240e+01 
2.38127e+02 ; -2.74991e+00 ; -9.89979e-04 ; -1.31715e-04 ; -1.72259e-03 ; 3.54700e+01 
2.34463e+02 ; -2.76934e+00 ; -1.12120e-03 ; -1.31713e-04 ; -1.89812e-03 ; 3.65310e+01 
2.31331e+02 ; -2.78575e+00 ; -1.25171e-03 ; -1.31710e-04 ; -2.04649e-03 ; 3.75360e+01 
2.27457e+02 ; -2.80583e+00 ; -1.38212e-03 ; -1.31714e-04 ; -2.22858e-03 ; 3.85270e+01 
2.20154e+02 ; -2.84120e+00 ; -1.49435e-03 ; -1.31709e-04 ; -2.56944e-03 ; 3.95320e+01 
2.08667e+02 ; -2.91688e+00 ; -1.62425e-03 ; -1.31712e-04 ; -3.09517e-03 ; 4.05610e+01 
1.91863e+02 ; -3.03712e+00 ; -1.75511e-03 ; -1.31709e-04 ; -3.84121e-03 ; 4.15510e+01 
1.75744e+02 ; -3.17767e+00 ; -1.86653e-03 ; -1.31710e-04 ; -4.52459e-03 ; 4.25710e+01 
1.63886e+02 ; -3.31475e+00 ; -1.99822e-03 ; -1.31709e-04 ; -5.00727e-03 ; 4.35840e+01 
1.51678e+02 ; -3.46848e+00 ; -2.12833e-03 ; -1.31710e-04 ; -5.48120e-03 ; 4.45890e+01 
1.40994e+02 ; -3.63259e+00 ; -2.23989e-03 ; -1.31705e-04 ; -5.87819e-03 ; 4.55940e+01 
1.32870e+02 ; -3.77793e+00 ; -2.37152e-03 ; -1.31708e-04 ; -6.16853e-03 ; 4.65970e+01 
1.24402e+02 ; -3.95521e+00 ; -2.48269e-03 ; -1.31704e-04 ; -6.45729e-03 ; 4.75410e+01 
1.16831e+02 ; -4.13799e+00 ; -2.61303e-03 ; -1.31703e-04 ; -6.70285e-03 ; 4.86010e+01 
1.11111e+02 ; -4.28690e+00 ; -2.74317e-03 ; -1.31703e-04 ; -6.88257e-03 ; 4.96110e+01 
1.05178e+02 ; -4.46684e+00 ; -2.87337e-03 ; -1.31707e-04 ; -7.06176e-03 ; 5.06230e+01 
9.99363e+01 ; -4.64494e+00 ; -2.98583e-03 ; -1.31707e-04 ; -7.21298e-03 ; 5.16390e+01 
9.59785e+01 ; -4.80390e+00 ; -3.11607e-03 ; -1.31708e-04 ; -7.32380e-03 ; 5.26610e+01 
9.20493e+01 ; -4.98045e+00 ; -3.22794e-03 ; -1.31704e-04 ; -7.43118e-03 ; 5.36030e+01 
8.86245e+01 ; -5.12474e+00 ; -3.35991e-03 ; -1.31705e-04 ; -7.51885e-03 ; 5.46650e+01 
8.62920e+01 ; -5.25349e+00 ; -3.48943e-03 ; -1.31705e-04 ; -7.57856e-03 ; 5.56660e+01 
8.40583e+01 ; -5.38423e+00 ; -3.61891e-03 ; -1.31705e-04 ; -7.63575e-03 ; 5.66830e+01 
8.21948e+01 ; -5.48807e+00 ; -3.73203e-03 ; -1.31710e-04 ; -7.68107e-03 ; 5.76880e+01 
8.08311e+01 ; -5.55993e+00 ; -3.86169e-03 ; -1.31706e-04 ; -7.71257e-03 ; 5.86920e+01 
7.95995e+01 ; -5.62492e+00 ; -3.97367e-03 ; -1.31704e-04 ; -7.74102e-03 ; 5.96970e+01 
7.86701e+01 ; -5.67416e+00 ; -4.10517e-03 ; -1.31708e-04 ; -7.76249e-03 ; 6.07000e+01 
7.78116e+01 ; -5.72752e+00 ; -4.23465e-03 ; -1.31707e-04 ; -7.78232e-03 ; 6.17000e+01 
7.71596e+01 ; -5.77734e+00 ; -4.34672e-03 ; -1.31704e-04 ; -7.79738e-03 ; 6.27190e+01 
7.67411e+01 ; -5.80970e+00 ; -4.47705e-03 ; -1.31710e-04 ; -7.80705e-03 ; 6.37300e+01 
7.63339e+01 ; -5.84077e+00 ; -4.58861e-03 ; -1.31707e-04 ; -7.81645e-03 ; 6.46850e+01 
7.60212e+01 ; -5.86475e+00 ; -4.72018e-03 ; -1.31708e-04 ; -7.82368e-03 ; 6.57410e+01 
7.58532e+01 ; -5.87775e+00 ; -4.85094e-03 ; -1.31710e-04 ; -7.82756e-03 ; 6.67480e+01 
7.55784e+01 ; -5.89857e+00 ; -4.98064e-03 ; -1.31705e-04 ; -7.83390e-03 ; 6.77380e+01 
7.54326e+01 ; -5.91000e+00 ; -5.09320e-03 ; -1.31711e-04 ; -7.83727e-03 ; 6.87450e+01 
7.53297e+01 ; -5.91783e+00 ; -5.22365e-03 ; -1.31710e-04 ; -7.83965e-03 ; 6.97650e+01 
7.51975e+01 ; -5.92809e+00 ; -5.35350e-03 ; -1.31713e-04 ; -7.84270e-03 ; 7.07700e+01 
7.51472e+01 ; -5.93183e+00 ; -5.46550e-03 ; -1.31710e-04 ; -7.84386e-03 ; 7.17240e+01 
7.50505e+01 ; -5.93916e+00 ; -5.59598e-03 ; -1.31708e-04 ; -7.84610e-03 ; 7.27820e+01 
7.50275e+01 ; -5.94100e+00 ; -5.70804e-03 ; -1.31710e-04 ; -7.84663e-03 ; 7.37270e+01 
7.49199e+01 ; -5.94917e+00 ; -5.83939e-03 ; -1.31708e-04 ; -7.84912e-03 ; 7.47750e+01 
7.48856e+01 ; -5.95189e+00 ; -5.96867e-03 ; -1.31710e-04 ; -7.84991e-03 ; 7.57970e+01 
7.49661e+01 ; -5.94572e+00 ; -6.08027e-03 ; -1.31710e-04 ; -7.84805e-03 ; 7.67920e+01 
7.48644e+01 ; -5.95370e+00 ; -6.21062e-03 ; -1.31714e-04 ; -7.85040e-03 ; 7.78210e+01 
7.49104e+01 ; -5.94992e+00 ; -6.34173e-03 ; -1.31709e-04 ; -7.84934e-03 ; 7.88220e+01 
7.48417e+01 ; -5.95529e+00 ; -6.45276e-03 ; -1.31711e-04 ; -7.85092e-03 ; 7.97600e+01 
7.47991e+01 ; -5.95862e+00 ; -6.58387e-03 ; -1.31713e-04 ; -7.85190e-03 ; 8.08240e+01 
7.48123e+01 ; -5.95759e+00 ; -6.71440e-03 ; -1.31712e-04 ; -7.85160e-03 ; 8.18290e+01 
7.48381e+01 ; -5.95559e+00 ; -6.82683e-03 ; -1.31712e-04 ; -7.85100e-03 ; 8.28200e+01 
7.48183e+01 ; -5.95719e+00 ; -6.95623e-03 ; -1.31713e-04 ; -7.85146e-03 ; 8.38350e+01 
7.48188e+01 ; -5.95721e+00 ; -7.08714e-03 ; -1.31715e-04 ; -7.85145e-03 ; 8.48660e+01 
7.47963e+01 ; -5.95878e+00 ; -7.19917e-03 ; -1.31712e-04 ; -7.85197e-03 ; 8.58700e+01 
7.47955e+01 ; -5.95899e+00 ; -7.32967e-03 ; -1.31715e-04 ; -7.85199e-03 ; 8.68820e+01 
