T [K] ; dTdt [K/s] ; V [Volt] ; dV/dt [Volt/s] ; IntdTdt [V] ; etime [s] 
2.96515e+02 ; -9.43191e-03 ; 1.07516e-03 ; -4.87633e-07 ; 1.19329e-03 ; 1.30800e+00 
2.96515e+02 ; -1.13635e-02 ; 1.07487e-03 ; -5.87499e-07 ; 1.19328e-03 ; 2.32600e+00 
2.96514e+02 ; -1.10683e-02 ; 1.07507e-03 ; -5.72232e-07 ; 1.19326e-03 ; 3.33200e+00 
2.96510e+02 ; -1.37890e-02 ; 1.07502e-03 ; -7.12893e-07 ; 1.19303e-03 ; 4.33600e+00 
2.96508e+02 ; -1.82103e-02 ; 1.07562e-03 ; -9.41472e-07 ; 1.19294e-03 ; 5.28400e+00 
2.96504e+02 ; -3.00195e-02 ; 1.07480e-03 ; -1.55200e-06 ; 1.19274e-03 ; 6.34300e+00 
2.96473e+02 ; -4.56527e-02 ; 1.07313e-03 ; -2.36015e-06 ; 1.19112e-03 ; 7.34800e+00 
2.96432e+02 ; -5.50600e-02 ; 1.07237e-03 ; -2.84635e-06 ; 1.18902e-03 ; 8.36300e+00 
2.96408e+02 ; -5.00693e-02 ; 1.07023e-03 ; -2.58827e-06 ; 1.18775e-03 ; 9.36700e+00 
2.96349e+02 ; -5.04611e-02 ; 1.06838e-03 ; -2.60835e-06 ; 1.18471e-03 ; 1.03110e+01 
2.96336e+02 ; -5.24831e-02 ; 1.06630e-03 ; -2.71283e-06 ; 1.18405e-03 ; 1.13130e+01 
2.96302e+02 ; -5.22464e-02 ; 1.06473e-03 ; -2.70048e-06 ; 1.18229e-03 ; 1.23140e+01 
2.96258e+02 ; -5.46226e-02 ; 1.06266e-03 ; -2.82315e-06 ; 1.17997e-03 ; 1.33750e+01 
2.96227e+02 ; -6.30777e-02 ; 1.06098e-03 ; -3.26004e-06 ; 1.17840e-03 ; 1.43640e+01 
2.96170e+02 ; -7.33974e-02 ; 1.05829e-03 ; -3.79313e-06 ; 1.17543e-03 ; 1.53270e+01 
2.96127e+02 ; -8.19587e-02 ; 1.05474e-03 ; -4.23536e-06 ; 1.17319e-03 ; 1.63880e+01 
2.96091e+02 ; -9.36268e-02 ; 1.05146e-03 ; -4.83813e-06 ; 1.17133e-03 ; 1.73920e+01 
2.95951e+02 ; -1.06733e-01 ; 1.04769e-03 ; -5.51447e-06 ; 1.16410e-03 ; 1.83380e+01 
2.95869e+02 ; -1.19814e-01 ; 1.04345e-03 ; -6.18972e-06 ; 1.15985e-03 ; 1.93850e+01 
2.95764e+02 ; -1.30790e-01 ; 1.03764e-03 ; -6.75590e-06 ; 1.15440e-03 ; 2.03990e+01 
2.95642e+02 ; -1.45393e-01 ; 1.03160e-03 ; -7.50917e-06 ; 1.14810e-03 ; 2.14130e+01 
2.95514e+02 ; -1.76084e-01 ; 1.02500e-03 ; -9.09288e-06 ; 1.14143e-03 ; 2.23800e+01 
