T [K] ; dTdt [K/s] ; V [Volt] ; dV/dt [Volt/s] ; IntdTdt [V] ; etime [s] 
2.97558e+02 ; 1.99807e-02 ; 1.12650e-03 ; 1.03428e-06 ; 1.24735e-03 ; 1.33700e+00 
2.97579e+02 ; 1.19201e-02 ; 1.12768e-03 ; 6.17048e-07 ; 1.24844e-03 ; 2.34400e+00 
2.97586e+02 ; 5.91303e-03 ; 1.12870e-03 ; 3.06092e-07 ; 1.24880e-03 ; 3.35000e+00 
2.97614e+02 ; 4.71637e-03 ; 1.12993e-03 ; 2.44154e-07 ; 1.25023e-03 ; 4.35400e+00 
2.97622e+02 ; 6.06812e-03 ; 1.13059e-03 ; 3.14133e-07 ; 1.25067e-03 ; 5.35700e+00 
2.97650e+02 ; 6.44916e-03 ; 1.13164e-03 ; 3.33870e-07 ; 1.25212e-03 ; 6.30000e+00 
2.97667e+02 ; 6.86394e-03 ; 1.13265e-03 ; 3.55350e-07 ; 1.25300e-03 ; 7.36100e+00 
2.97703e+02 ; 6.57280e-02 ; 1.13409e-03 ; 3.40292e-06 ; 1.25486e-03 ; 8.31100e+00 
2.97761e+02 ; 4.06801e-02 ; 1.13710e-03 ; 2.10626e-06 ; 1.25782e-03 ; 9.37200e+00 
2.97812e+02 ; 2.86055e-02 ; 1.14014e-03 ; 1.48117e-06 ; 1.26048e-03 ; 1.03760e+01 
2.97858e+02 ; 6.29144e-02 ; 1.14213e-03 ; 3.25784e-06 ; 1.26288e-03 ; 1.13720e+01 
2.97922e+02 ; 3.52063e-02 ; 1.14520e-03 ; 1.82320e-06 ; 1.26621e-03 ; 1.24020e+01 
2.97959e+02 ; 2.28264e-02 ; 1.14753e-03 ; 1.18214e-06 ; 1.26811e-03 ; 1.34080e+01 
2.97977e+02 ; 9.88799e-03 ; 1.14857e-03 ; 5.12093e-07 ; 1.26902e-03 ; 1.43550e+01 
2.98000e+02 ; 2.02923e-03 ; 1.14935e-03 ; 1.05095e-07 ; 1.27023e-03 ; 1.54150e+01 
2.97992e+02 ; -7.15882e-03 ; 1.14964e-03 ; -3.70758e-07 ; 1.26980e-03 ; 1.64160e+01 
2.98010e+02 ; -8.49136e-03 ; 1.15038e-03 ; -4.39780e-07 ; 1.27076e-03 ; 1.74190e+01 
2.98020e+02 ; -8.20356e-03 ; 1.15021e-03 ; -4.24879e-07 ; 1.27126e-03 ; 1.84220e+01 
2.98016e+02 ; -9.66658e-03 ; 1.15126e-03 ; -5.00650e-07 ; 1.27107e-03 ; 1.94280e+01 
2.98017e+02 ; -1.77746e-02 ; 1.15080e-03 ; -9.20582e-07 ; 1.27113e-03 ; 2.04150e+01 
