T [K] ; dTdt [K/s] ; V [Volt] ; dV/dt [Volt/s] ; IntdTdt [V] ; etime [s] 
2.97449e+02 ; -1.31725e-02 ; 1.12066e-03 ; -6.81770e-07 ; 1.24167e-03 ; 1.32800e+00 
2.97444e+02 ; -1.37799e-02 ; 1.12120e-03 ; -7.13203e-07 ; 1.24142e-03 ; 2.31800e+00 
2.97439e+02 ; -1.52417e-02 ; 1.12114e-03 ; -7.88861e-07 ; 1.24118e-03 ; 3.33800e+00 
2.97441e+02 ; -1.56437e-02 ; 1.12073e-03 ; -8.09667e-07 ; 1.24130e-03 ; 4.28700e+00 
2.97437e+02 ; -1.46176e-02 ; 1.12070e-03 ; -7.56557e-07 ; 1.24109e-03 ; 5.33300e+00 
2.97437e+02 ; -1.59675e-02 ; 1.12065e-03 ; -8.26424e-07 ; 1.24107e-03 ; 6.29600e+00 
2.97438e+02 ; -1.76205e-02 ; 1.12070e-03 ; -9.11978e-07 ; 1.24111e-03 ; 7.35400e+00 
2.97428e+02 ; -1.79076e-02 ; 1.12026e-03 ; -9.26824e-07 ; 1.24062e-03 ; 8.30000e+00 
2.97433e+02 ; -1.79906e-02 ; 1.12016e-03 ; -9.31125e-07 ; 1.24086e-03 ; 9.36200e+00 
2.97417e+02 ; -1.83196e-02 ; 1.11985e-03 ; -9.48135e-07 ; 1.24004e-03 ; 1.03110e+01 
2.97413e+02 ; -1.75260e-02 ; 1.11977e-03 ; -9.07058e-07 ; 1.23982e-03 ; 1.13690e+01 
2.97417e+02 ; -1.63395e-02 ; 1.11937e-03 ; -8.45655e-07 ; 1.24004e-03 ; 1.23730e+01 
2.97405e+02 ; -1.71519e-02 ; 1.11958e-03 ; -8.87687e-07 ; 1.23941e-03 ; 1.33760e+01 
2.97407e+02 ; -1.76521e-02 ; 1.11920e-03 ; -9.13581e-07 ; 1.23951e-03 ; 1.43810e+01 
2.97402e+02 ; -1.86899e-02 ; 1.11895e-03 ; -9.67282e-07 ; 1.23926e-03 ; 1.53680e+01 
2.97394e+02 ; -1.71390e-02 ; 1.11918e-03 ; -8.87012e-07 ; 1.23885e-03 ; 1.63870e+01 
2.97401e+02 ; -1.90283e-02 ; 1.11863e-03 ; -9.84797e-07 ; 1.23920e-03 ; 1.73340e+01 
2.97391e+02 ; -1.87080e-02 ; 1.11815e-03 ; -9.68209e-07 ; 1.23869e-03 ; 1.83930e+01 
2.97388e+02 ; -1.81572e-02 ; 1.11829e-03 ; -9.39701e-07 ; 1.23852e-03 ; 1.93380e+01 
2.97386e+02 ; -1.76385e-02 ; 1.11825e-03 ; -9.12850e-07 ; 1.23843e-03 ; 2.03970e+01 
2.97377e+02 ; -1.74284e-02 ; 1.11815e-03 ; -9.01970e-07 ; 1.23796e-03 ; 2.13840e+01 
2.97378e+02 ; -1.82172e-02 ; 1.11786e-03 ; -9.42793e-07 ; 1.23800e-03 ; 2.24130e+01 
2.97369e+02 ; -1.80707e-02 ; 1.11728e-03 ; -9.35202e-07 ; 1.23753e-03 ; 2.34230e+01 
2.97363e+02 ; -1.82485e-02 ; 1.11692e-03 ; -9.44396e-07 ; 1.23722e-03 ; 2.44270e+01 
2.97361e+02 ; -1.80665e-02 ; 1.11679e-03 ; -9.34977e-07 ; 1.23715e-03 ; 2.54320e+01 
2.97357e+02 ; -1.72930e-02 ; 1.11685e-03 ; -8.94941e-07 ; 1.23692e-03 ; 2.64340e+01 
2.97358e+02 ; -1.75581e-02 ; 1.11716e-03 ; -9.08661e-07 ; 1.23697e-03 ; 2.74380e+01 
2.97352e+02 ; -1.85774e-02 ; 1.11614e-03 ; -9.61406e-07 ; 1.23668e-03 ; 2.84260e+01 
2.97342e+02 ; -1.83935e-02 ; 1.11615e-03 ; -9.51875e-07 ; 1.23615e-03 ; 2.94460e+01 
2.97339e+02 ; -1.83419e-02 ; 1.11603e-03 ; -9.49204e-07 ; 1.23600e-03 ; 3.04510e+01 
2.97331e+02 ; -1.76200e-02 ; 1.11566e-03 ; -9.11838e-07 ; 1.23556e-03 ; 3.14550e+01 
2.97327e+02 ; -1.85383e-02 ; 1.11539e-03 ; -9.59353e-07 ; 1.23537e-03 ; 3.24610e+01 
2.97323e+02 ; -2.12684e-02 ; 1.11469e-03 ; -1.10063e-06 ; 1.23519e-03 ; 3.34040e+01 
2.97315e+02 ; -1.99446e-02 ; 1.11468e-03 ; -1.03212e-06 ; 1.23472e-03 ; 3.44670e+01 
2.97314e+02 ; -2.00658e-02 ; 1.11431e-03 ; -1.03839e-06 ; 1.23469e-03 ; 3.54550e+01 
2.97300e+02 ; -2.18085e-02 ; 1.11372e-03 ; -1.12855e-06 ; 1.23396e-03 ; 3.64790e+01 
2.97294e+02 ; -2.47361e-02 ; 1.11380e-03 ; -1.28004e-06 ; 1.23364e-03 ; 3.74860e+01 
2.97279e+02 ; -2.91549e-02 ; 1.11334e-03 ; -1.50867e-06 ; 1.23286e-03 ; 3.84920e+01 
2.97267e+02 ; -3.61930e-02 ; 1.11217e-03 ; -1.87285e-06 ; 1.23227e-03 ; 3.94960e+01 
2.97234e+02 ; -4.51174e-02 ; 1.11088e-03 ; -2.33456e-06 ; 1.23057e-03 ; 4.05070e+01 
2.97199e+02 ; -5.38845e-02 ; 1.10935e-03 ; -2.78809e-06 ; 1.22876e-03 ; 4.15140e+01 
2.97156e+02 ; -6.67050e-02 ; 1.10713e-03 ; -3.45128e-06 ; 1.22651e-03 ; 4.25100e+01 
2.97102e+02 ; -7.97110e-02 ; 1.10450e-03 ; -4.12394e-06 ; 1.22372e-03 ; 4.35270e+01 
2.97024e+02 ; -9.77024e-02 ; 1.10070e-03 ; -5.05428e-06 ; 1.21968e-03 ; 4.45340e+01 
2.96943e+02 ; -1.17125e-01 ; 1.09637e-03 ; -6.05847e-06 ; 1.21548e-03 ; 4.55230e+01 
2.96828e+02 ; -1.35510e-01 ; 1.09051e-03 ; -7.00849e-06 ; 1.20953e-03 ; 4.65430e+01 
2.96696e+02 ; -1.58130e-01 ; 1.08489e-03 ; -8.17711e-06 ; 1.20267e-03 ; 4.75340e+01 
2.96562e+02 ; -1.80749e-01 ; 1.07754e-03 ; -9.34530e-06 ; 1.19574e-03 ; 4.84950e+01 
2.96379e+02 ; -2.08191e-01 ; 1.06817e-03 ; -1.07618e-05 ; 1.18625e-03 ; 4.95560e+01 
2.96175e+02 ; -2.28916e-01 ; 1.05948e-03 ; -1.18303e-05 ; 1.17567e-03 ; 5.05600e+01 
2.95986e+02 ; -2.47734e-01 ; 1.04784e-03 ; -1.28000e-05 ; 1.16590e-03 ; 5.15510e+01 
2.95735e+02 ; -2.74261e-01 ; 1.03569e-03 ; -1.41664e-05 ; 1.15293e-03 ; 5.25790e+01 
2.95463e+02 ; -3.03969e-01 ; 1.02417e-03 ; -1.56959e-05 ; 1.13881e-03 ; 5.35840e+01 
2.95217e+02 ; -3.25711e-01 ; 1.00873e-03 ; -1.68137e-05 ; 1.12605e-03 ; 5.45870e+01 
2.94897e+02 ; -3.51847e-01 ; 9.95004e-04 ; -1.81561e-05 ; 1.10947e-03 ; 5.55890e+01 
2.94601e+02 ; -3.79034e-01 ; 9.77778e-04 ; -1.95521e-05 ; 1.09417e-03 ; 5.65810e+01 
2.94238e+02 ; -4.00531e-01 ; 9.58830e-04 ; -2.06523e-05 ; 1.07537e-03 ; 5.76000e+01 
2.93833e+02 ; -4.25651e-01 ; 9.42016e-04 ; -2.19371e-05 ; 1.05439e-03 ; 5.86090e+01 
2.93494e+02 ; -4.48599e-01 ; 9.20713e-04 ; -2.31106e-05 ; 1.03683e-03 ; 5.95980e+01 
2.93058e+02 ; -4.70181e-01 ; 8.98588e-04 ; -2.42101e-05 ; 1.01429e-03 ; 6.06030e+01 
2.92598e+02 ; -4.91755e-01 ; 8.79031e-04 ; -2.53075e-05 ; 9.90719e-04 ; 6.16290e+01 
2.92192e+02 ; -5.09641e-01 ; 8.55034e-04 ; -2.62156e-05 ; 9.69928e-04 ; 6.25750e+01 
2.91692e+02 ; -5.26664e-01 ; 8.33219e-04 ; -2.70756e-05 ; 9.44328e-04 ; 6.36190e+01 
2.91253e+02 ; -5.41665e-01 ; 8.07816e-04 ; -2.78327e-05 ; 9.21899e-04 ; 6.45770e+01 
2.90740e+02 ; -5.52991e-01 ; 7.81447e-04 ; -2.83978e-05 ; 8.95601e-04 ; 6.56250e+01 
2.90215e+02 ; -5.60056e-01 ; 7.58630e-04 ; -2.87432e-05 ; 8.68744e-04 ; 6.66430e+01 
2.89750e+02 ; -5.66669e-01 ; 7.31420e-04 ; -2.90670e-05 ; 8.44920e-04 ; 6.75880e+01 
2.89216e+02 ; -5.72563e-01 ; 7.03871e-04 ; -2.93513e-05 ; 8.17603e-04 ; 6.86470e+01 
2.88673e+02 ; -5.77076e-01 ; 6.79946e-04 ; -2.95641e-05 ; 7.89803e-04 ; 6.96580e+01 
2.88204e+02 ; -5.80469e-01 ; 6.52200e-04 ; -2.97219e-05 ; 7.65765e-04 ; 7.06610e+01 
2.87654e+02 ; -5.82441e-01 ; 6.28298e-04 ; -2.98063e-05 ; 7.37589e-04 ; 7.16040e+01 
2.87118e+02 ; -5.82879e-01 ; 6.00529e-04 ; -2.98129e-05 ; 7.10148e-04 ; 7.26640e+01 
