T;dTdt [K/s];V [Volt];dV/dt [Volt/s];IntdTdt [V];etime [s]
2.96440e+02 ; -4.19920e-01 ; 1.06900e-03 ; -2.17081e-05 ; 1.18940e-03 ; 1.33300e+00 
2.95510e+02 ; -1.34379e+00 ; 1.04117e-03 ; -6.93922e-05 ; 1.14123e-03 ; 2.34800e+00 
2.93235e+02 ; -2.55159e+00 ; 9.31430e-04 ; -1.31411e-04 ; 1.02341e-03 ; 3.36100e+00 
2.89177e+02 ; -2.56585e+00 ; 8.02702e-04 ; -1.31527e-04 ; 8.15600e-04 ; 4.37500e+00 
2.83992e+02 ; -2.58490e+00 ; 6.89208e-04 ; -1.31804e-04 ; 5.50091e-04 ; 5.39200e+00 
2.79352e+02 ; -2.59671e+00 ; 5.58585e-04 ; -1.31807e-04 ; 3.14456e-04 ; 6.39000e+00 
2.73991e+02 ; -2.61267e+00 ; 4.27383e-04 ; -1.31802e-04 ; 4.26590e-05 ; 7.40600e+00 
2.69095e+02 ; -2.62789e+00 ; 2.98172e-04 ; -1.31804e-04 ; -2.03150e-04 ; 8.42000e+00 
2.65294e+02 ; -2.64144e+00 ; 1.88458e-04 ; -1.31799e-04 ; -3.93581e-04 ; 9.42100e+00 
2.60969e+02 ; -2.65748e+00 ; 5.63978e-05 ; -1.31795e-04 ; -6.08748e-04 ; 1.04360e+01 
2.56655e+02 ; -2.67374e+00 ; -5.73992e-05 ; -1.31798e-04 ; -8.21865e-04 ; 1.14360e+01 
2.52950e+02 ; -2.68810e+00 ; -1.87319e-04 ; -1.31800e-04 ; -1.00476e-03 ; 1.24510e+01 
2.48400e+02 ; -2.70548e+00 ; -3.19338e-04 ; -1.31803e-04 ; -1.22634e-03 ; 1.34680e+01 
2.43630e+02 ; -2.72696e+00 ; -4.30101e-04 ; -1.31800e-04 ; -1.45864e-03 ; 1.44680e+01 
2.39340e+02 ; -2.74627e+00 ; -5.59866e-04 ; -1.31802e-04 ; -1.66451e-03 ; 1.54670e+01 
2.32148e+02 ; -2.78353e+00 ; -6.91491e-04 ; -1.31807e-04 ; -2.00812e-03 ; 1.64860e+01 
2.20685e+02 ; -2.84046e+00 ; -8.03596e-04 ; -1.31793e-04 ; -2.54490e-03 ; 1.74850e+01 
2.10142e+02 ; -2.90879e+00 ; -9.34547e-04 ; -1.31804e-04 ; -3.02868e-03 ; 1.84880e+01 
1.98830e+02 ; -2.97793e+00 ; -1.06425e-03 ; -1.31802e-04 ; -3.53496e-03 ; 1.94870e+01 
1.87594e+02 ; -3.07682e+00 ; -1.17675e-03 ; -1.31800e-04 ; -4.02434e-03 ; 2.04880e+01 
1.78434e+02 ; -3.15083e+00 ; -1.30711e-03 ; -1.31799e-04 ; -4.41213e-03 ; 2.15030e+01 
