T [K] ; dTdt [K/s] ; V [Volt] ; dV/dt [Volt/s] ; IntdTdt [V] ; etime [s] 
3.03028e+02 ; 2.86926e-02 ; 1.41004e-03 ; 1.49183e-06 ; 1.53069e-03 ; 1.31800e+00 
3.03061e+02 ; 2.64624e-02 ; 1.41193e-03 ; 1.37591e-06 ; 1.53240e-03 ; 2.34100e+00 
3.03047e+02 ; -6.91378e-02 ; 1.41212e-03 ; -3.59478e-06 ; 1.53168e-03 ; 3.34700e+00 
3.02986e+02 ; -8.55181e-02 ; 1.40874e-03 ; -4.44625e-06 ; 1.52851e-03 ; 4.35400e+00 
3.02931e+02 ; -6.23755e-02 ; 1.40592e-03 ; -3.24289e-06 ; 1.52565e-03 ; 5.36100e+00 
3.02909e+02 ; -5.07202e-02 ; 1.40377e-03 ; -2.63689e-06 ; 1.52450e-03 ; 6.30800e+00 
3.02867e+02 ; -5.01161e-02 ; 1.40282e-03 ; -2.60540e-06 ; 1.52234e-03 ; 7.36800e+00 
3.02790e+02 ; -1.10999e-01 ; 1.39968e-03 ; -5.77021e-06 ; 1.51837e-03 ; 8.37200e+00 
3.02567e+02 ; -3.78837e-01 ; 1.39020e-03 ; -1.96901e-05 ; 1.50679e-03 ; 9.37500e+00 
3.01797e+02 ; -1.00736e+00 ; 1.35708e-03 ; -5.23271e-05 ; 1.46691e-03 ; 1.03880e+01 
3.00103e+02 ; -2.00327e+00 ; 1.29235e-03 ; -1.03924e-04 ; 1.37916e-03 ; 1.13910e+01 
2.98076e+02 ; -2.52549e+00 ; 1.17648e-03 ; -1.30809e-04 ; 1.27417e-03 ; 1.23370e+01 
2.95331e+02 ; -2.54849e+00 ; 1.04648e-03 ; -1.31574e-04 ; 1.13196e-03 ; 1.33970e+01 
2.92588e+02 ; -2.55836e+00 ; 9.34696e-04 ; -1.31661e-04 ; 9.90224e-04 ; 1.43360e+01 
2.89085e+02 ; -2.56938e+00 ; 8.05354e-04 ; -1.31694e-04 ; 8.10856e-04 ; 1.54000e+01 
2.85413e+02 ; -2.57886e+00 ; 6.93214e-04 ; -1.31680e-04 ; 6.22857e-04 ; 1.63890e+01 
2.82095e+02 ; -2.58634e+00 ; 5.62751e-04 ; -1.31632e-04 ; 4.53490e-04 ; 1.73960e+01 
2.78347e+02 ; -2.60317e+00 ; 4.32849e-04 ; -1.32006e-04 ; 2.63470e-04 ; 1.84170e+01 
2.74373e+02 ; -2.61558e+00 ; 3.20816e-04 ; -1.32009e-04 ; 6.20006e-05 ; 1.94300e+01 
2.70804e+02 ; -2.62669e+00 ; 1.90371e-04 ; -1.32009e-04 ; -1.17534e-04 ; 2.04300e+01 
2.66554e+02 ; -2.64095e+00 ; 5.95926e-05 ; -1.32011e-04 ; -3.30454e-04 ; 2.14340e+01 
2.62192e+02 ; -2.65737e+00 ; -5.18738e-05 ; -1.32015e-04 ; -5.48303e-04 ; 2.24600e+01 
2.58186e+02 ; -2.67221e+00 ; -1.82789e-04 ; -1.32014e-04 ; -7.46232e-04 ; 2.34490e+01 
2.52367e+02 ; -2.69475e+00 ; -3.13306e-04 ; -1.32017e-04 ; -1.03313e-03 ; 2.44550e+01 
2.43445e+02 ; -2.73238e+00 ; -4.25410e-04 ; -1.32021e-04 ; -1.46766e-03 ; 2.54720e+01 
2.31759e+02 ; -2.79002e+00 ; -5.56034e-04 ; -1.32017e-04 ; -2.02638e-03 ; 2.64850e+01 
2.13147e+02 ; -2.89285e+00 ; -6.86449e-04 ; -1.32019e-04 ; -2.89316e-03 ; 2.74980e+01 
1.91060e+02 ; -3.05147e+00 ; -7.98190e-04 ; -1.32021e-04 ; -3.87564e-03 ; 2.85060e+01 
1.72313e+02 ; -3.22305e+00 ; -9.29171e-04 ; -1.32021e-04 ; -4.66683e-03 ; 2.94600e+01 
1.53131e+02 ; -3.45859e+00 ; -1.05885e-03 ; -1.32021e-04 ; -5.42670e-03 ; 3.05040e+01 
1.37044e+02 ; -3.70862e+00 ; -1.17147e-03 ; -1.32023e-04 ; -6.01959e-03 ; 3.15330e+01 
1.25740e+02 ; -3.93148e+00 ; -1.30210e-03 ; -1.32021e-04 ; -6.41167e-03 ; 3.25380e+01 
1.15130e+02 ; -4.19331e+00 ; -1.43261e-03 ; -1.32020e-04 ; -6.75745e-03 ; 3.35470e+01 
1.06868e+02 ; -4.41736e+00 ; -1.54424e-03 ; -1.32024e-04 ; -7.01072e-03 ; 3.45510e+01 
1.01367e+02 ; -4.60887e+00 ; -1.67525e-03 ; -1.32025e-04 ; -7.17292e-03 ; 3.55560e+01 
9.63193e+01 ; -4.79970e+00 ; -1.80595e-03 ; -1.32024e-04 ; -7.31426e-03 ; 3.65650e+01 
9.30881e+01 ; -4.94884e+00 ; -1.91733e-03 ; -1.32028e-04 ; -7.40458e-03 ; 3.75550e+01 
8.99924e+01 ; -5.07956e+00 ; -2.02951e-03 ; -1.32028e-04 ; -7.48383e-03 ; 3.85160e+01 
8.78038e+01 ; -5.17764e+00 ; -2.16016e-03 ; -1.32027e-04 ; -7.53986e-03 ; 3.95440e+01 
8.63870e+01 ; -5.26085e+00 ; -2.29056e-03 ; -1.32029e-04 ; -7.57613e-03 ; 4.05880e+01 
8.50501e+01 ; -5.33940e+00 ; -2.40174e-03 ; -1.32032e-04 ; -7.61036e-03 ; 4.15330e+01 
8.39817e+01 ; -5.40214e+00 ; -2.53314e-03 ; -1.32033e-04 ; -7.63771e-03 ; 4.25780e+01 
8.32343e+01 ; -5.44627e+00 ; -2.66449e-03 ; -1.32039e-04 ; -7.65684e-03 ; 4.35970e+01 
8.24396e+01 ; -5.48877e+00 ; -2.79423e-03 ; -1.32038e-04 ; -7.67541e-03 ; 4.46000e+01 
8.17623e+01 ; -5.52460e+00 ; -2.90582e-03 ; -1.32037e-04 ; -7.69106e-03 ; 4.56050e+01 
8.12968e+01 ; -5.54936e+00 ; -3.03593e-03 ; -1.32040e-04 ; -7.70181e-03 ; 4.65920e+01 
8.08399e+01 ; -5.57359e+00 ; -3.16662e-03 ; -1.32040e-04 ; -7.71236e-03 ; 4.76200e+01 
8.04340e+01 ; -5.59509e+00 ; -3.27852e-03 ; -1.32041e-04 ; -7.72174e-03 ; 4.85690e+01 
8.00869e+01 ; -5.61354e+00 ; -3.40943e-03 ; -1.32042e-04 ; -7.72976e-03 ; 4.96300e+01 
7.97698e+01 ; -5.63046e+00 ; -3.53950e-03 ; -1.32045e-04 ; -7.73708e-03 ; 5.06360e+01 
7.95466e+01 ; -5.64226e+00 ; -3.65111e-03 ; -1.32045e-04 ; -7.74224e-03 ; 5.16330e+01 
7.93134e+01 ; -5.65461e+00 ; -3.78202e-03 ; -1.32045e-04 ; -7.74763e-03 ; 5.26570e+01 
7.91113e+01 ; -5.66536e+00 ; -3.89372e-03 ; -1.32046e-04 ; -7.75229e-03 ; 5.36620e+01 
7.89782e+01 ; -5.67252e+00 ; -4.02436e-03 ; -1.32048e-04 ; -7.75537e-03 ; 5.46610e+01 
7.88143e+01 ; -5.68116e+00 ; -4.15502e-03 ; -1.32048e-04 ; -7.75915e-03 ; 5.56820e+01 
7.86642e+01 ; -5.68921e+00 ; -4.28554e-03 ; -1.32050e-04 ; -7.76262e-03 ; 5.66960e+01 
7.85684e+01 ; -5.69424e+00 ; -4.39739e-03 ; -1.32049e-04 ; -7.76483e-03 ; 5.76420e+01 
7.84541e+01 ; -5.70026e+00 ; -4.52785e-03 ; -1.32048e-04 ; -7.76747e-03 ; 5.86880e+01 
