T [K] ; dTdt [K/s] ; V [Volt] ; dV/dt [Volt/s] ; IntdTdt [V] ; etime [s] 
2.89086e+02 ; 7.47381e-03 ; 6.92332e-04 ; 3.83072e-07 ; 8.10909e-04 ; 1.32000e+00 
2.89104e+02 ; 7.36723e-03 ; 6.93762e-04 ; 3.77617e-07 ; 8.11845e-04 ; 2.26500e+00 
2.89125e+02 ; 6.43734e-03 ; 6.94400e-04 ; 3.29962e-07 ; 8.12942e-04 ; 3.31300e+00 
2.89147e+02 ; 7.17380e-03 ; 6.95461e-04 ; 3.67721e-07 ; 8.14032e-04 ; 4.33200e+00 
2.89164e+02 ; 8.74124e-03 ; 6.96474e-04 ; 4.48075e-07 ; 8.14897e-04 ; 5.33000e+00 
2.89182e+02 ; 7.94138e-03 ; 6.97386e-04 ; 4.07082e-07 ; 8.15821e-04 ; 6.30200e+00 
2.89205e+02 ; 9.33262e-03 ; 6.98465e-04 ; 4.78411e-07 ; 8.17001e-04 ; 7.29700e+00 
2.89221e+02 ; 8.77138e-03 ; 6.99758e-04 ; 4.49649e-07 ; 8.17817e-04 ; 8.36000e+00 
2.89251e+02 ; 8.83084e-03 ; 7.00778e-04 ; 4.52713e-07 ; 8.19373e-04 ; 9.35900e+00 
2.89264e+02 ; 8.16822e-03 ; 7.01785e-04 ; 4.18750e-07 ; 8.20053e-04 ; 1.03800e+01 
2.89288e+02 ; 8.17677e-03 ; 7.02840e-04 ; 4.19200e-07 ; 8.21274e-04 ; 1.13860e+01 
2.89313e+02 ; 9.29910e-03 ; 7.03722e-04 ; 4.76752e-07 ; 8.22520e-04 ; 1.23760e+01 
2.89339e+02 ; 7.20237e-03 ; 7.04598e-04 ; 3.69267e-07 ; 8.23855e-04 ; 1.33950e+01 
2.89351e+02 ; 7.24395e-03 ; 7.06136e-04 ; 3.71404e-07 ; 8.24481e-04 ; 1.43840e+01 
2.89367e+02 ; 5.61903e-03 ; 7.06774e-04 ; 2.88098e-07 ; 8.25298e-04 ; 1.54040e+01 
2.89368e+02 ; -4.47295e-03 ; 7.07132e-04 ; -2.29337e-07 ; 8.25363e-04 ; 1.64080e+01 
2.89379e+02 ; -1.01620e-02 ; 7.07757e-04 ; -5.21034e-07 ; 8.25918e-04 ; 1.74220e+01 
2.89379e+02 ; -1.30053e-02 ; 7.07918e-04 ; -6.66812e-07 ; 8.25906e-04 ; 1.84130e+01 
2.89377e+02 ; -1.54279e-02 ; 7.07626e-04 ; -7.91026e-07 ; 8.25816e-04 ; 1.94180e+01 
2.89370e+02 ; -1.71751e-02 ; 7.07722e-04 ; -8.80602e-07 ; 8.25459e-04 ; 2.04390e+01 
2.89370e+02 ; -1.49976e-02 ; 7.07137e-04 ; -7.68956e-07 ; 8.25447e-04 ; 2.14450e+01 
2.89365e+02 ; -1.53727e-02 ; 7.07137e-04 ; -7.88187e-07 ; 8.25226e-04 ; 2.24590e+01 
2.89364e+02 ; -1.69866e-02 ; 7.07173e-04 ; -8.70930e-07 ; 8.25155e-04 ; 2.34570e+01 
2.89367e+02 ; -2.29121e-02 ; 7.06673e-04 ; -1.17475e-06 ; 8.25310e-04 ; 2.44160e+01 
2.89347e+02 ; -2.91218e-02 ; 7.06309e-04 ; -1.49310e-06 ; 8.24278e-04 ; 2.54780e+01 
2.89336e+02 ; -3.05984e-02 ; 7.05457e-04 ; -1.56878e-06 ; 8.23718e-04 ; 2.64680e+01 
2.89310e+02 ; -4.48724e-02 ; 7.04658e-04 ; -2.30054e-06 ; 8.22407e-04 ; 2.74750e+01 
2.89272e+02 ; -5.43758e-02 ; 7.02685e-04 ; -2.78764e-06 ; 8.20434e-04 ; 2.84940e+01 
2.89235e+02 ; -6.25856e-02 ; 7.00891e-04 ; -3.20839e-06 ; 8.18533e-04 ; 2.94480e+01 
2.89177e+02 ; -7.26741e-02 ; 6.98322e-04 ; -3.72532e-06 ; 8.15558e-04 ; 3.04930e+01 
2.89121e+02 ; -8.46792e-02 ; 6.95360e-04 ; -4.34043e-06 ; 8.12703e-04 ; 3.15240e+01 
2.89054e+02 ; -9.62565e-02 ; 6.91748e-04 ; -4.93347e-06 ; 8.09264e-04 ; 3.24710e+01 
2.88943e+02 ; -1.11962e-01 ; 6.87396e-04 ; -5.73771e-06 ; 8.03625e-04 ; 3.35300e+01 
2.88856e+02 ; -1.25608e-01 ; 6.83021e-04 ; -6.43637e-06 ; 7.99149e-04 ; 3.44830e+01 
2.88735e+02 ; -1.42423e-01 ; 6.77168e-04 ; -7.29699e-06 ; 7.92974e-04 ; 3.55450e+01 
2.88615e+02 ; -1.64123e-01 ; 6.70260e-04 ; -8.40757e-06 ; 7.86787e-04 ; 3.65360e+01 
2.88469e+02 ; -1.62587e-01 ; 6.62476e-04 ; -8.32753e-06 ; 7.79337e-04 ; 3.75590e+01 
2.88314e+02 ; -1.70740e-01 ; 6.56319e-04 ; -8.74352e-06 ; 7.71373e-04 ; 3.85490e+01 
2.88185e+02 ; -1.87068e-01 ; 6.48206e-04 ; -9.57827e-06 ; 7.64775e-04 ; 3.95770e+01 
2.87999e+02 ; -2.05854e-01 ; 6.39456e-04 ; -1.05381e-05 ; 7.55280e-04 ; 4.05900e+01 
2.87802e+02 ; -2.22636e-01 ; 6.30790e-04 ; -1.13951e-05 ; 7.45207e-04 ; 4.16010e+01 
2.87621e+02 ; -2.39552e-01 ; 6.20007e-04 ; -1.22586e-05 ; 7.35903e-04 ; 4.25460e+01 
2.87388e+02 ; -2.58355e-01 ; 6.08385e-04 ; -1.32178e-05 ; 7.23982e-04 ; 4.36060e+01 
2.87140e+02 ; -2.76576e-01 ; 5.97852e-04 ; -1.41465e-05 ; 7.11286e-04 ; 4.46090e+01 
2.86909e+02 ; -2.94591e-01 ; 5.84155e-04 ; -1.50645e-05 ; 6.99443e-04 ; 4.55990e+01 
2.86630e+02 ; -3.07578e-01 ; 5.69862e-04 ; -1.57243e-05 ; 6.85167e-04 ; 4.66320e+01 
2.86331e+02 ; -3.22930e-01 ; 5.57291e-04 ; -1.65043e-05 ; 6.69879e-04 ; 4.76210e+01 
2.86073e+02 ; -3.36614e-01 ; 5.41884e-04 ; -1.71993e-05 ; 6.56664e-04 ; 4.86510e+01 
2.85749e+02 ; -3.49724e-01 ; 5.27793e-04 ; -1.78634e-05 ; 6.40082e-04 ; 4.95920e+01 
2.85418e+02 ; -3.61162e-01 ; 5.11527e-04 ; -1.84416e-05 ; 6.23137e-04 ; 5.06540e+01 
2.85127e+02 ; -3.70894e-01 ; 4.94122e-04 ; -1.89331e-05 ; 6.08247e-04 ; 5.16580e+01 
2.84787e+02 ; -3.76868e-01 ; 4.78971e-04 ; -1.92315e-05 ; 5.90801e-04 ; 5.26080e+01 
2.84478e+02 ; -3.83567e-01 ; 4.60797e-04 ; -1.95674e-05 ; 5.75018e-04 ; 5.36100e+01 
2.84114e+02 ; -3.91769e-01 ; 4.45241e-04 ; -1.99787e-05 ; 5.56373e-04 ; 5.46090e+01 
2.83748e+02 ; -3.97558e-01 ; 4.26459e-04 ; -2.02666e-05 ; 5.37622e-04 ; 5.56570e+01 
2.83427e+02 ; -4.03100e-01 ; 4.07678e-04 ; -2.05426e-05 ; 5.21165e-04 ; 5.66190e+01 
2.83046e+02 ; -4.08245e-01 ; 3.88223e-04 ; -2.07970e-05 ; 5.01746e-04 ; 5.76620e+01 
2.82664e+02 ; -4.11951e-01 ; 3.71808e-04 ; -2.09779e-05 ; 4.82345e-04 ; 5.86760e+01 
2.82324e+02 ; -4.16771e-01 ; 3.52400e-04 ; -2.12164e-05 ; 4.65119e-04 ; 5.96780e+01 
2.81938e+02 ; -4.20644e-01 ; 3.32487e-04 ; -2.14054e-05 ; 4.45527e-04 ; 6.06980e+01 
2.81552e+02 ; -4.22065e-01 ; 3.15213e-04 ; -2.14697e-05 ; 4.26000e-04 ; 6.17050e+01 
2.81204e+02 ; -4.25575e-01 ; 2.95114e-04 ; -2.16408e-05 ; 4.08316e-04 ; 6.27170e+01 
2.80809e+02 ; -4.29431e-01 ; 2.75451e-04 ; -2.18286e-05 ; 3.88294e-04 ; 6.37190e+01 
2.80455e+02 ; -4.31391e-01 ; 2.57617e-04 ; -2.19206e-05 ; 3.70341e-04 ; 6.46650e+01 
2.80055e+02 ; -4.32616e-01 ; 2.36964e-04 ; -2.19743e-05 ; 3.50100e-04 ; 6.57080e+01 
2.79652e+02 ; -4.32185e-01 ; 2.19595e-04 ; -2.19438e-05 ; 3.29655e-04 ; 6.67290e+01 
2.79310e+02 ; -4.32667e-01 ; 1.99199e-04 ; -2.19610e-05 ; 3.12310e-04 ; 6.77350e+01 
2.78905e+02 ; -4.32873e-01 ; 1.79058e-04 ; -2.19628e-05 ; 2.91794e-04 ; 6.87200e+01 
2.78494e+02 ; -4.33761e-01 ; 1.60998e-04 ; -2.19990e-05 ; 2.70921e-04 ; 6.97490e+01 
