T [K] ; dTdt [K/s] ; V [Volt] ; dV/dt [Volt/s] ; IntdTdt [V] ; etime [s] 
3.03067e+02 ; -2.44919e-02 ; 1.41319e-03 ; -1.27346e-06 ; 1.53269e-03 ; 1.30900e+00 
3.03059e+02 ; -2.41957e-02 ; 1.41287e-03 ; -1.25805e-06 ; 1.53229e-03 ; 2.26600e+00 
3.03051e+02 ; -2.29576e-02 ; 1.41244e-03 ; -1.19367e-06 ; 1.53188e-03 ; 3.32800e+00 
3.03038e+02 ; -2.28891e-02 ; 1.41206e-03 ; -1.19010e-06 ; 1.53120e-03 ; 4.33300e+00 
3.03022e+02 ; -2.28050e-02 ; 1.41132e-03 ; -1.18571e-06 ; 1.53039e-03 ; 5.34400e+00 
3.03018e+02 ; -2.30733e-02 ; 1.41068e-03 ; -1.19966e-06 ; 1.53018e-03 ; 6.33800e+00 
3.03007e+02 ; -2.46996e-02 ; 1.41047e-03 ; -1.28420e-06 ; 1.52957e-03 ; 7.36400e+00 
3.02997e+02 ; -2.48831e-02 ; 1.41030e-03 ; -1.29373e-06 ; 1.52906e-03 ; 8.36600e+00 
3.02988e+02 ; -2.70452e-02 ; 1.40895e-03 ; -1.40613e-06 ; 1.52861e-03 ; 9.37600e+00 
3.02972e+02 ; -2.96710e-02 ; 1.40886e-03 ; -1.54263e-06 ; 1.52777e-03 ; 1.03840e+01 
3.02952e+02 ; -3.27658e-02 ; 1.40801e-03 ; -1.70351e-06 ; 1.52677e-03 ; 1.13910e+01 
3.02937e+02 ; -3.48347e-02 ; 1.40696e-03 ; -1.81105e-06 ; 1.52595e-03 ; 1.23950e+01 
3.02919e+02 ; -3.54284e-02 ; 1.40589e-03 ; -1.84190e-06 ; 1.52504e-03 ; 1.33390e+01 
3.02892e+02 ; -3.29182e-02 ; 1.40460e-03 ; -1.71136e-06 ; 1.52361e-03 ; 1.44000e+01 
3.02882e+02 ; -3.18552e-02 ; 1.40398e-03 ; -1.65608e-06 ; 1.52313e-03 ; 1.53490e+01 
3.02865e+02 ; -3.12158e-02 ; 1.40318e-03 ; -1.62282e-06 ; 1.52221e-03 ; 1.64090e+01 
3.02849e+02 ; -3.01816e-02 ; 1.40220e-03 ; -1.56904e-06 ; 1.52141e-03 ; 1.73660e+01 
3.02831e+02 ; -2.97050e-02 ; 1.40202e-03 ; -1.54424e-06 ; 1.52049e-03 ; 1.84160e+01 
3.02824e+02 ; -2.99377e-02 ; 1.40099e-03 ; -1.55633e-06 ; 1.52013e-03 ; 1.93610e+01 
3.02803e+02 ; -3.10626e-02 ; 1.40008e-03 ; -1.61478e-06 ; 1.51902e-03 ; 2.04210e+01 
3.02781e+02 ; -3.13898e-02 ; 1.39909e-03 ; -1.63176e-06 ; 1.51790e-03 ; 2.14260e+01 
3.02762e+02 ; -3.15899e-02 ; 1.39822e-03 ; -1.64214e-06 ; 1.51691e-03 ; 2.24160e+01 
3.02757e+02 ; -3.16073e-02 ; 1.39709e-03 ; -1.64303e-06 ; 1.51662e-03 ; 2.34200e+01 
3.02733e+02 ; -3.19621e-02 ; 1.39633e-03 ; -1.66145e-06 ; 1.51541e-03 ; 2.44400e+01 
3.02712e+02 ; -3.63486e-02 ; 1.39571e-03 ; -1.88944e-06 ; 1.51432e-03 ; 2.54320e+01 
3.02679e+02 ; -6.20149e-02 ; 1.39386e-03 ; -3.22351e-06 ; 1.51262e-03 ; 2.64530e+01 
3.02458e+02 ; -3.17018e-01 ; 1.38798e-03 ; -1.64757e-05 ; 1.50118e-03 ; 2.74630e+01 
3.01612e+02 ; -1.50529e+00 ; 1.35201e-03 ; -7.81807e-05 ; 1.45735e-03 ; 2.84530e+01 
2.99235e+02 ; -2.54040e+00 ; 1.24185e-03 ; -1.31702e-04 ; 1.33423e-03 ; 2.94790e+01 
2.95672e+02 ; -2.55286e+00 ; 1.12974e-03 ; -1.31853e-04 ; 1.14966e-03 ; 3.04680e+01 
2.91954e+02 ; -2.56369e+00 ; 9.99272e-04 ; -1.31838e-04 ; 9.57769e-04 ; 3.14310e+01 
2.87338e+02 ; -2.58184e+00 ; 8.69340e-04 ; -1.32084e-04 ; 7.21443e-04 ; 3.24790e+01 
2.83108e+02 ; -2.59440e+00 ; 7.57038e-04 ; -1.32173e-04 ; 5.04887e-04 ; 3.34990e+01 
2.80046e+02 ; -2.60222e+00 ; 6.26671e-04 ; -1.32176e-04 ; 3.49635e-04 ; 3.45000e+01 
2.77323e+02 ; -2.60964e+00 ; 4.95779e-04 ; -1.32177e-04 ; 2.11596e-04 ; 3.55140e+01 
2.75405e+02 ; -2.61565e+00 ; 3.83645e-04 ; -1.32176e-04 ; 1.14310e-04 ; 3.64670e+01 
2.73296e+02 ; -2.62229e+00 ; 2.52706e-04 ; -1.32177e-04 ; 7.37900e-06 ; 3.75250e+01 
