T [K] ; dTdt [K/s] ; V [Volt] ; dV/dt [Volt/s] ; IntdTdt [V] ; etime [s] 
3.02405e+02 ; -3.53282e-02 ; 1.37397e-03 ; -1.83596e-06 ; 1.49839e-03 ; 1.33400e+00 
3.02384e+02 ; -3.59688e-02 ; 1.37278e-03 ; -1.86922e-06 ; 1.49732e-03 ; 2.27800e+00 
3.02362e+02 ; -3.56442e-02 ; 1.37202e-03 ; -1.85233e-06 ; 1.49617e-03 ; 3.33600e+00 
3.02337e+02 ; -3.48572e-02 ; 1.37090e-03 ; -1.81139e-06 ; 1.49487e-03 ; 4.34800e+00 
3.02318e+02 ; -3.54880e-02 ; 1.37018e-03 ; -1.84414e-06 ; 1.49389e-03 ; 5.34400e+00 
3.02301e+02 ; -3.40449e-02 ; 1.36876e-03 ; -1.76913e-06 ; 1.49303e-03 ; 6.36300e+00 
3.02280e+02 ; -3.51671e-02 ; 1.36735e-03 ; -1.82742e-06 ; 1.49194e-03 ; 7.36800e+00 
3.02264e+02 ; -3.62421e-02 ; 1.36719e-03 ; -1.88325e-06 ; 1.49109e-03 ; 8.37200e+00 
3.02241e+02 ; -3.61161e-02 ; 1.36574e-03 ; -1.87667e-06 ; 1.48994e-03 ; 9.38200e+00 
3.02219e+02 ; -3.66253e-02 ; 1.36456e-03 ; -1.90310e-06 ; 1.48879e-03 ; 1.03790e+01 
3.02192e+02 ; -3.60996e-02 ; 1.36368e-03 ; -1.87575e-06 ; 1.48738e-03 ; 1.13990e+01 
3.02172e+02 ; -3.73258e-02 ; 1.36244e-03 ; -1.93943e-06 ; 1.48633e-03 ; 1.24060e+01 
3.02153e+02 ; -3.71623e-02 ; 1.36155e-03 ; -1.93091e-06 ; 1.48534e-03 ; 1.33500e+01 
3.02133e+02 ; -3.82468e-02 ; 1.36043e-03 ; -1.98722e-06 ; 1.48430e-03 ; 1.43960e+01 
3.02112e+02 ; -4.12392e-02 ; 1.35903e-03 ; -2.14267e-06 ; 1.48324e-03 ; 1.54150e+01 
3.02083e+02 ; -4.19063e-02 ; 1.35755e-03 ; -2.17728e-06 ; 1.48175e-03 ; 1.64190e+01 
3.02064e+02 ; -4.41500e-02 ; 1.35651e-03 ; -2.29382e-06 ; 1.48073e-03 ; 1.74130e+01 
3.02034e+02 ; -4.06492e-02 ; 1.35521e-03 ; -2.11189e-06 ; 1.47918e-03 ; 1.84370e+01 
3.02008e+02 ; -3.92300e-02 ; 1.35392e-03 ; -2.03811e-06 ; 1.47783e-03 ; 1.94440e+01 
3.01989e+02 ; -3.79182e-02 ; 1.35251e-03 ; -1.96993e-06 ; 1.47685e-03 ; 2.04350e+01 
3.01962e+02 ; -3.70703e-02 ; 1.35153e-03 ; -1.92585e-06 ; 1.47548e-03 ; 2.14550e+01 
3.01950e+02 ; -3.76292e-02 ; 1.35021e-03 ; -1.95486e-06 ; 1.47486e-03 ; 2.24000e+01 
3.01925e+02 ; -3.75460e-02 ; 1.34927e-03 ; -1.95051e-06 ; 1.47354e-03 ; 2.34590e+01 
3.01900e+02 ; -3.75598e-02 ; 1.34830e-03 ; -1.95118e-06 ; 1.47223e-03 ; 2.44510e+01 
3.01881e+02 ; -3.52866e-02 ; 1.34693e-03 ; -1.83307e-06 ; 1.47126e-03 ; 2.54700e+01 
3.01860e+02 ; -3.91797e-02 ; 1.34595e-03 ; -2.03527e-06 ; 1.47016e-03 ; 2.64720e+01 
3.01835e+02 ; -3.69776e-02 ; 1.34459e-03 ; -1.92084e-06 ; 1.46890e-03 ; 2.74770e+01 
3.01810e+02 ; -3.95103e-02 ; 1.34378e-03 ; -2.05237e-06 ; 1.46757e-03 ; 2.84860e+01 
