T;dTdt [K/s];V [Volt];dV/dt [Volt/s];IntdTdt [V];etime [s]
2.96171e+02 ; -1.34795e-02 ; 1.05260e-03 ; -6.96615e-07 ; 1.17546e-03 ; 1.33300e+00 
2.96175e+02 ; -1.15569e-02 ; 1.05274e-03 ; -5.97255e-07 ; 1.17571e-03 ; 2.33300e+00 
2.96172e+02 ; -1.38609e-02 ; 1.05271e-03 ; -7.16324e-07 ; 1.17556e-03 ; 3.34800e+00 
2.96172e+02 ; -1.93518e-02 ; 1.05261e-03 ; -1.00009e-06 ; 1.17556e-03 ; 4.36600e+00 
2.96157e+02 ; -2.53415e-02 ; 1.05212e-03 ; -1.30962e-06 ; 1.17474e-03 ; 5.37900e+00 
2.96148e+02 ; -2.99945e-02 ; 1.05177e-03 ; -1.55006e-06 ; 1.17429e-03 ; 6.39600e+00 
2.96130e+02 ; -3.26882e-02 ; 1.05038e-03 ; -1.68923e-06 ; 1.17338e-03 ; 7.39300e+00 
2.96108e+02 ; -3.84617e-02 ; 1.04955e-03 ; -1.98753e-06 ; 1.17221e-03 ; 8.40900e+00 
2.96084e+02 ; -4.46137e-02 ; 1.04825e-03 ; -2.30538e-06 ; 1.17100e-03 ; 9.40900e+00 
2.96051e+02 ; -5.28212e-02 ; 1.04648e-03 ; -2.72939e-06 ; 1.16925e-03 ; 1.04220e+01 
2.95998e+02 ; -6.47587e-02 ; 1.04460e-03 ; -3.34601e-06 ; 1.16655e-03 ; 1.14390e+01 
2.95959e+02 ; -7.88775e-02 ; 1.04177e-03 ; -4.07533e-06 ; 1.16449e-03 ; 1.24370e+01 
2.95877e+02 ; -9.16215e-02 ; 1.03838e-03 ; -4.73331e-06 ; 1.16023e-03 ; 1.34390e+01 
2.95791e+02 ; -1.08477e-01 ; 1.03496e-03 ; -5.60351e-06 ; 1.15581e-03 ; 1.44380e+01 
2.95707e+02 ; -1.26621e-01 ; 1.02959e-03 ; -6.54015e-06 ; 1.15144e-03 ; 1.54500e+01 
2.95577e+02 ; -1.43174e-01 ; 1.02379e-03 ; -7.39398e-06 ; 1.14470e-03 ; 1.64660e+01 
2.95446e+02 ; -1.62664e-01 ; 1.01775e-03 ; -8.39925e-06 ; 1.13795e-03 ; 1.74800e+01 
2.95312e+02 ; -1.80147e-01 ; 1.00945e-03 ; -9.30052e-06 ; 1.13101e-03 ; 1.84850e+01 
2.95148e+02 ; -1.97733e-01 ; 1.00109e-03 ; -1.02065e-05 ; 1.12250e-03 ; 1.95020e+01 
2.94946e+02 ; -2.16227e-01 ; 9.92447e-04 ; -1.11584e-05 ; 1.11201e-03 ; 2.05010e+01 
2.94770e+02 ; -2.35441e-01 ; 9.81975e-04 ; -1.21475e-05 ; 1.10294e-03 ; 2.15040e+01 
2.94548e+02 ; -2.46673e-01 ; 9.71043e-04 ; -1.27236e-05 ; 1.09141e-03 ; 2.25050e+01 
