T [K] ; dTdt [K/s] ; V [Volt] ; dV/dt [Volt/s] ; IntdTdt [V] ; etime [s] 
3.06057e+02 ; -1.63614e-02 ; 1.56722e-03 ; -8.52683e-07 ; 1.68873e-03 ; 1.32100e+00 
3.06045e+02 ; -1.64981e-02 ; 1.56698e-03 ; -8.59796e-07 ; 1.68814e-03 ; 2.32400e+00 
3.06042e+02 ; -1.72529e-02 ; 1.56644e-03 ; -8.99130e-07 ; 1.68797e-03 ; 3.34000e+00 
3.06045e+02 ; -1.86668e-02 ; 1.56659e-03 ; -9.72821e-07 ; 1.68812e-03 ; 4.35200e+00 
3.06038e+02 ; -1.85207e-02 ; 1.56640e-03 ; -9.65201e-07 ; 1.68775e-03 ; 5.35800e+00 
3.06032e+02 ; -1.82074e-02 ; 1.56583e-03 ; -9.48866e-07 ; 1.68745e-03 ; 6.36300e+00 
3.06026e+02 ; -1.92956e-02 ; 1.56528e-03 ; -1.00557e-06 ; 1.68715e-03 ; 7.30800e+00 
3.06017e+02 ; -1.87363e-02 ; 1.56514e-03 ; -9.76419e-07 ; 1.68668e-03 ; 8.35200e+00 
3.06007e+02 ; -1.92808e-02 ; 1.56472e-03 ; -1.00479e-06 ; 1.68613e-03 ; 9.37400e+00 
3.06000e+02 ; -1.94201e-02 ; 1.56444e-03 ; -1.01204e-06 ; 1.68576e-03 ; 1.03820e+01 
3.05995e+02 ; -1.95399e-02 ; 1.56417e-03 ; -1.01828e-06 ; 1.68549e-03 ; 1.13300e+01 
3.05990e+02 ; -1.95049e-02 ; 1.56386e-03 ; -1.01646e-06 ; 1.68526e-03 ; 1.23740e+01 
3.05985e+02 ; -2.03143e-02 ; 1.56318e-03 ; -1.05863e-06 ; 1.68499e-03 ; 1.33350e+01 
3.05978e+02 ; -2.16740e-02 ; 1.56267e-03 ; -1.12948e-06 ; 1.68460e-03 ; 1.43960e+01 
3.05970e+02 ; -1.95705e-02 ; 1.56236e-03 ; -1.01986e-06 ; 1.68419e-03 ; 1.53420e+01 
3.05958e+02 ; -1.98588e-02 ; 1.56203e-03 ; -1.03487e-06 ; 1.68360e-03 ; 1.63860e+01 
3.05952e+02 ; -2.31813e-02 ; 1.56228e-03 ; -1.20801e-06 ; 1.68328e-03 ; 1.73930e+01 
3.05925e+02 ; -5.79518e-02 ; 1.56060e-03 ; -3.01987e-06 ; 1.68185e-03 ; 1.83610e+01 
3.05844e+02 ; -1.31712e-01 ; 1.55718e-03 ; -6.86308e-06 ; 1.67763e-03 ; 1.94230e+01 
3.05527e+02 ; -4.42319e-01 ; 1.54684e-03 ; -2.30422e-05 ; 1.66110e-03 ; 2.04120e+01 
3.04866e+02 ; -9.82649e-01 ; 1.51378e-03 ; -5.11641e-05 ; 1.62660e-03 ; 2.14230e+01 
3.03550e+02 ; -1.53218e+00 ; 1.45053e-03 ; -7.96957e-05 ; 1.55787e-03 ; 2.23920e+01 
3.01627e+02 ; -2.13015e+00 ; 1.35624e-03 ; -1.10636e-04 ; 1.45813e-03 ; 2.34520e+01 
2.99286e+02 ; -2.48571e+00 ; 1.25589e-03 ; -1.28872e-04 ; 1.33682e-03 ; 2.44660e+01 
2.97116e+02 ; -2.54499e+00 ; 1.12798e-03 ; -1.31670e-04 ; 1.22443e-03 ; 2.54790e+01 
2.94221e+02 ; -2.55505e+00 ; 1.01606e-03 ; -1.31742e-04 ; 1.07446e-03 ; 2.64690e+01 
2.91018e+02 ; -2.56578e+00 ; 8.86154e-04 ; -1.31803e-04 ; 9.09829e-04 ; 2.74910e+01 
2.88001e+02 ; -2.57509e+00 ; 7.55578e-04 ; -1.31825e-04 ; 7.55387e-04 ; 2.85200e+01 
2.84236e+02 ; -2.58416e+00 ; 6.44112e-04 ; -1.31798e-04 ; 5.62626e-04 ; 2.94950e+01 
2.80498e+02 ; -2.60004e+00 ; 5.13410e-04 ; -1.32124e-04 ; 3.72553e-04 ; 3.05170e+01 
2.77152e+02 ; -2.60918e+00 ; 3.82948e-04 ; -1.32126e-04 ; 2.02900e-04 ; 3.15210e+01 
2.73079e+02 ; -2.62196e+00 ; 2.51847e-04 ; -1.32126e-04 ; -3.54640e-06 ; 3.25340e+01 
2.68796e+02 ; -2.63525e+00 ; 1.40273e-04 ; -1.32127e-04 ; -2.18159e-04 ; 3.35400e+01 
2.65050e+02 ; -2.64901e+00 ; 9.27440e-06 ; -1.32131e-04 ; -4.05806e-04 ; 3.45540e+01 
2.60589e+02 ; -2.66566e+00 ; -1.21587e-04 ; -1.32131e-04 ; -6.27494e-04 ; 3.55670e+01 
2.55819e+02 ; -2.68371e+00 ; -2.33418e-04 ; -1.32130e-04 ; -8.63135e-04 ; 3.65720e+01 
2.51023e+02 ; -2.70217e+00 ; -3.63874e-04 ; -1.32130e-04 ; -1.09859e-03 ; 3.75750e+01 
2.44450e+02 ; -2.73011e+00 ; -4.75812e-04 ; -1.32133e-04 ; -1.41867e-03 ; 3.85820e+01 
2.38080e+02 ; -2.75888e+00 ; -6.06418e-04 ; -1.32132e-04 ; -1.72484e-03 ; 3.95270e+01 
2.29981e+02 ; -2.80175e+00 ; -7.37268e-04 ; -1.32133e-04 ; -2.10995e-03 ; 4.05890e+01 
2.21344e+02 ; -2.84466e+00 ; -8.50081e-04 ; -1.32136e-04 ; -2.51443e-03 ; 4.15990e+01 
2.13668e+02 ; -2.89171e+00 ; -9.80228e-04 ; -1.32135e-04 ; -2.86906e-03 ; 4.25880e+01 
2.04458e+02 ; -2.95213e+00 ; -1.11075e-03 ; -1.32138e-04 ; -3.28501e-03 ; 4.36050e+01 
1.95217e+02 ; -3.01652e+00 ; -1.22328e-03 ; -1.32138e-04 ; -3.69466e-03 ; 4.46080e+01 
1.87317e+02 ; -3.08698e+00 ; -1.35344e-03 ; -1.32138e-04 ; -4.03624e-03 ; 4.56110e+01 
1.78232e+02 ; -3.16046e+00 ; -1.48415e-03 ; -1.32135e-04 ; -4.42058e-03 ; 4.66270e+01 
1.69424e+02 ; -3.25701e+00 ; -1.59625e-03 ; -1.32137e-04 ; -4.78354e-03 ; 4.76330e+01 
1.62081e+02 ; -3.34820e+00 ; -1.70826e-03 ; -1.32137e-04 ; -5.07857e-03 ; 4.85780e+01 
1.53774e+02 ; -3.45332e+00 ; -1.83854e-03 ; -1.32136e-04 ; -5.40171e-03 ; 4.96400e+01 
1.46900e+02 ; -3.54508e+00 ; -1.96935e-03 ; -1.32138e-04 ; -5.66036e-03 ; 5.06300e+01 
1.39211e+02 ; -3.67367e+00 ; -2.09995e-03 ; -1.32138e-04 ; -5.94202e-03 ; 5.16510e+01 
1.32963e+02 ; -3.78861e+00 ; -2.21171e-03 ; -1.32138e-04 ; -6.16537e-03 ; 5.25970e+01 
1.26001e+02 ; -3.92850e+00 ; -2.34238e-03 ; -1.32139e-04 ; -6.40277e-03 ; 5.36550e+01 
1.19672e+02 ; -4.08083e+00 ; -2.47302e-03 ; -1.32139e-04 ; -6.61165e-03 ; 5.46560e+01 
1.14784e+02 ; -4.20627e+00 ; -2.58495e-03 ; -1.32138e-04 ; -6.76854e-03 ; 5.56020e+01 
