T[K] ; dTdt [K/s] ; V [Volt] ; dV/dt [Volt/s] ; IntdTdt [V] ; etime [s] 
2.98929e+02 ; -2.11082e-02 ; 1.19933e-03 ; -1.09405e-06 ; 1.31837e-03 ; 1.33200e+00 
2.98929e+02 ; -1.97195e-02 ; 1.19933e-03 ; -1.02208e-06 ; 1.31837e-03 ; 2.34600e+00 
2.98929e+02 ; -1.99967e-02 ; 1.19933e-03 ; -1.03645e-06 ; 1.31837e-03 ; 3.35800e+00 
2.98929e+02 ; -1.99972e-02 ; 1.19933e-03 ; -1.03647e-06 ; 1.31837e-03 ; 4.34500e+00 
2.98929e+02 ; -2.05522e-02 ; 1.19629e-03 ; -1.06524e-06 ; 1.31836e-03 ; 5.37200e+00 
2.98929e+02 ; -2.08304e-02 ; 1.19629e-03 ; -1.07966e-06 ; 1.31836e-03 ; 6.38400e+00 
2.98870e+02 ; -2.08308e-02 ; 1.19629e-03 ; -1.07963e-06 ; 1.31531e-03 ; 7.39600e+00 
2.98929e+02 ; -2.05522e-02 ; 1.19629e-03 ; -1.06524e-06 ; 1.31836e-03 ; 8.39200e+00 
2.98870e+02 ; -2.08314e-02 ; 1.19629e-03 ; -1.07966e-06 ; 1.31531e-03 ; 9.41800e+00 
2.98929e+02 ; -2.02744e-02 ; 1.19628e-03 ; -1.05084e-06 ; 1.31836e-03 ; 1.04280e+01 
2.98870e+02 ; -2.02753e-02 ; 1.19628e-03 ; -1.05084e-06 ; 1.31531e-03 ; 1.14420e+01 
2.98870e+02 ; -2.13869e-02 ; 1.19628e-03 ; -1.10845e-06 ; 1.31531e-03 ; 1.24510e+01 
2.98870e+02 ; -2.08308e-02 ; 1.19628e-03 ; -1.07963e-06 ; 1.31531e-03 ; 1.34610e+01 
2.98870e+02 ; -2.08314e-02 ; 1.19324e-03 ; -1.07966e-06 ; 1.31531e-03 ; 1.44730e+01 
2.98870e+02 ; -2.11091e-02 ; 1.19324e-03 ; -1.09405e-06 ; 1.31531e-03 ; 1.54830e+01 
2.98870e+02 ; -2.02759e-02 ; 1.19324e-03 ; -1.05087e-06 ; 1.31531e-03 ; 1.64990e+01 
2.98811e+02 ; -2.05546e-02 ; 1.19323e-03 ; -1.06526e-06 ; 1.31226e-03 ; 1.75090e+01 
2.98870e+02 ; -2.02759e-02 ; 1.19323e-03 ; -1.05087e-06 ; 1.31531e-03 ; 1.85200e+01 
2.98811e+02 ; -2.13873e-02 ; 1.19323e-03 ; -1.10842e-06 ; 1.31226e-03 ; 1.95160e+01 
2.98811e+02 ; -2.05546e-02 ; 1.19323e-03 ; -1.06526e-06 ; 1.31226e-03 ; 2.05300e+01 
2.98811e+02 ; -2.16650e-02 ; 1.19323e-03 ; -1.12282e-06 ; 1.31226e-03 ; 2.15470e+01 
2.98811e+02 ; -2.08318e-02 ; 1.19019e-03 ; -1.07963e-06 ; 1.31226e-03 ; 2.25620e+01 
2.98811e+02 ; -2.05546e-02 ; 1.19323e-03 ; -1.06526e-06 ; 1.31226e-03 ; 2.35770e+01 
2.98811e+02 ; -1.97208e-02 ; 1.19019e-03 ; -1.02205e-06 ; 1.31226e-03 ; 2.45800e+01 
2.98753e+02 ; -2.05549e-02 ; 1.19019e-03 ; -1.06524e-06 ; 1.30921e-03 ; 2.55640e+01 
2.98753e+02 ; -1.94444e-02 ; 1.19019e-03 ; -1.00768e-06 ; 1.30921e-03 ; 2.65940e+01 
2.98753e+02 ; -2.05549e-02 ; 1.19018e-03 ; -1.06524e-06 ; 1.30921e-03 ; 2.76100e+01 
2.98753e+02 ; -2.11110e-02 ; 1.19019e-03 ; -1.09405e-06 ; 1.30921e-03 ; 2.86220e+01 
2.98752e+02 ; -2.11110e-02 ; 1.19018e-03 ; -1.09405e-06 ; 1.30920e-03 ; 2.96250e+01 
2.98753e+02 ; -2.02777e-02 ; 1.19018e-03 ; -1.05087e-06 ; 1.30921e-03 ; 3.06390e+01 
2.98752e+02 ; -2.05549e-02 ; 1.19018e-03 ; -1.06524e-06 ; 1.30920e-03 ; 3.16540e+01 
2.98753e+02 ; -1.91661e-02 ; 1.19018e-03 ; -9.93260e-07 ; 1.30921e-03 ; 3.26690e+01 
2.98752e+02 ; -1.91666e-02 ; 1.18713e-03 ; -9.93289e-07 ; 1.30920e-03 ; 3.36840e+01 
2.98752e+02 ; -2.05549e-02 ; 1.18713e-03 ; -1.06524e-06 ; 1.30920e-03 ; 3.47000e+01 
2.98752e+02 ; -1.88889e-02 ; 1.18713e-03 ; -9.78893e-07 ; 1.30920e-03 ; 3.57010e+01 
2.98694e+02 ; -1.91675e-02 ; 1.18713e-03 ; -9.93289e-07 ; 1.30616e-03 ; 3.66840e+01 
2.98694e+02 ; -1.97231e-02 ; 1.18713e-03 ; -1.02208e-06 ; 1.30616e-03 ; 3.76990e+01 
2.98694e+02 ; -1.97225e-02 ; 1.18713e-03 ; -1.02205e-06 ; 1.30616e-03 ; 3.87290e+01 
2.98694e+02 ; -2.02786e-02 ; 1.18713e-03 ; -1.05087e-06 ; 1.30616e-03 ; 3.97420e+01 
2.98694e+02 ; -2.08342e-02 ; 1.18713e-03 ; -1.07966e-06 ; 1.30616e-03 ; 4.07320e+01 
2.98693e+02 ; -2.02786e-02 ; 1.18713e-03 ; -1.05087e-06 ; 1.30615e-03 ; 4.17480e+01 
