T [K] ; dTdt [K/s] ; V [Volt] ; dV/dt [Volt/s] ; IntdTdt [V] ; etime [s] 
3.01272e+02 ; -2.22058e-03 ; 1.31963e-03 ; -1.15301e-07 ; 1.43972e-03 ; 1.32800e+00 
3.01282e+02 ; -1.25511e-03 ; 1.31986e-03 ; -6.51708e-08 ; 1.44024e-03 ; 2.27700e+00 
3.01300e+02 ; -2.09383e-03 ; 1.32053e-03 ; -1.08722e-07 ; 1.44115e-03 ; 3.32000e+00 
3.01310e+02 ; -2.79120e-03 ; 1.32099e-03 ; -1.44934e-07 ; 1.44171e-03 ; 4.34200e+00 
3.01308e+02 ; -3.52761e-03 ; 1.32110e-03 ; -1.83172e-07 ; 1.44161e-03 ; 5.35100e+00 
3.01327e+02 ; -4.43179e-03 ; 1.32190e-03 ; -2.30125e-07 ; 1.44256e-03 ; 6.35400e+00 
3.01326e+02 ; -5.53038e-03 ; 1.32270e-03 ; -2.87170e-07 ; 1.44250e-03 ; 7.36100e+00 
3.01343e+02 ; -6.04361e-03 ; 1.32254e-03 ; -3.13824e-07 ; 1.44338e-03 ; 8.36900e+00 
3.01340e+02 ; -6.50601e-03 ; 1.32303e-03 ; -3.37834e-07 ; 1.44325e-03 ; 9.37400e+00 
3.01345e+02 ; -6.43181e-03 ; 1.32326e-03 ; -3.33982e-07 ; 1.44349e-03 ; 1.03750e+01 
3.01354e+02 ; -6.41065e-03 ; 1.32366e-03 ; -3.32886e-07 ; 1.44398e-03 ; 1.13970e+01 
3.01362e+02 ; -6.30449e-03 ; 1.32383e-03 ; -3.27375e-07 ; 1.44438e-03 ; 1.23880e+01 
3.01369e+02 ; -6.09762e-03 ; 1.32380e-03 ; -3.16635e-07 ; 1.44474e-03 ; 1.34130e+01 
3.01374e+02 ; -5.74784e-03 ; 1.32461e-03 ; -2.98473e-07 ; 1.44498e-03 ; 1.44180e+01 
3.01382e+02 ; -5.79546e-03 ; 1.32498e-03 ; -3.00947e-07 ; 1.44544e-03 ; 1.54250e+01 
3.01381e+02 ; -6.87940e-03 ; 1.32540e-03 ; -3.57234e-07 ; 1.44539e-03 ; 1.63780e+01 
3.01396e+02 ; -7.42886e-03 ; 1.32527e-03 ; -3.85771e-07 ; 1.44613e-03 ; 1.74360e+01 
3.01402e+02 ; -8.28752e-03 ; 1.32620e-03 ; -4.30362e-07 ; 1.44648e-03 ; 1.84280e+01 
3.01396e+02 ; -8.93780e-03 ; 1.32575e-03 ; -4.64128e-07 ; 1.44616e-03 ; 1.94340e+01 
3.01409e+02 ; -8.17052e-03 ; 1.32647e-03 ; -4.24289e-07 ; 1.44681e-03 ; 2.04600e+01 
3.01402e+02 ; -9.28428e-03 ; 1.32642e-03 ; -4.82123e-07 ; 1.44646e-03 ; 2.14670e+01 
3.01415e+02 ; -1.01494e-02 ; 1.32661e-03 ; -5.27051e-07 ; 1.44713e-03 ; 2.24540e+01 
3.01421e+02 ; -1.04271e-02 ; 1.32670e-03 ; -5.41474e-07 ; 1.44745e-03 ; 2.34620e+01 
3.01419e+02 ; -9.59276e-03 ; 1.32683e-03 ; -4.98148e-07 ; 1.44734e-03 ; 2.44200e+01 
3.01419e+02 ; -1.07081e-02 ; 1.32678e-03 ; -5.56066e-07 ; 1.44732e-03 ; 2.54880e+01 
3.01428e+02 ; -1.01276e-02 ; 1.32712e-03 ; -5.25926e-07 ; 1.44780e-03 ; 2.64730e+01 
3.01422e+02 ; -1.04503e-02 ; 1.32737e-03 ; -5.42683e-07 ; 1.44750e-03 ; 2.74890e+01 
3.01430e+02 ; -1.23333e-02 ; 1.32749e-03 ; -6.40468e-07 ; 1.44792e-03 ; 2.84840e+01 
3.01433e+02 ; -8.56941e-03 ; 1.32750e-03 ; -4.45010e-07 ; 1.44805e-03 ; 2.94930e+01 
3.01440e+02 ; -8.71011e-03 ; 1.32815e-03 ; -4.52320e-07 ; 1.44843e-03 ; 3.05170e+01 
3.01436e+02 ; -1.15016e-02 ; 1.32769e-03 ; -5.97283e-07 ; 1.44821e-03 ; 3.15250e+01 
3.01434e+02 ; -2.43276e-02 ; 1.32756e-03 ; -1.26334e-06 ; 1.44811e-03 ; 3.25330e+01 
3.01422e+02 ; -2.74003e-02 ; 1.32701e-03 ; -1.42289e-06 ; 1.44750e-03 ; 3.35330e+01 
3.01401e+02 ; -2.93418e-02 ; 1.32622e-03 ; -1.52369e-06 ; 1.44641e-03 ; 3.44890e+01 
3.01392e+02 ; -3.10951e-02 ; 1.32608e-03 ; -1.61472e-06 ; 1.44596e-03 ; 3.55350e+01 
3.01375e+02 ; -3.53609e-02 ; 1.32512e-03 ; -1.83622e-06 ; 1.44504e-03 ; 3.65440e+01 
3.01350e+02 ; -3.89746e-02 ; 1.32303e-03 ; -2.02383e-06 ; 1.44378e-03 ; 3.75510e+01 
3.01322e+02 ; -4.31420e-02 ; 1.32211e-03 ; -2.24018e-06 ; 1.44232e-03 ; 3.85710e+01 
3.01287e+02 ; -4.48043e-02 ; 1.32083e-03 ; -2.32644e-06 ; 1.44051e-03 ; 3.95770e+01 
3.01260e+02 ; -4.30087e-02 ; 1.31882e-03 ; -2.23315e-06 ; 1.43908e-03 ; 4.05820e+01 
3.01235e+02 ; -4.27734e-02 ; 1.31692e-03 ; -2.22089e-06 ; 1.43780e-03 ; 4.15730e+01 
3.01229e+02 ; -4.51063e-02 ; 1.31648e-03 ; -2.34201e-06 ; 1.43749e-03 ; 4.25910e+01 
3.01176e+02 ; -4.94527e-02 ; 1.31427e-03 ; -2.56758e-06 ; 1.43473e-03 ; 4.36000e+01 
3.01151e+02 ; -5.33310e-02 ; 1.31253e-03 ; -2.76889e-06 ; 1.43346e-03 ; 4.46090e+01 
3.01095e+02 ; -6.26538e-02 ; 1.31124e-03 ; -3.25278e-06 ; 1.43057e-03 ; 4.56090e+01 
3.01041e+02 ; -7.32133e-02 ; 1.30860e-03 ; -3.80084e-06 ; 1.42777e-03 ; 4.66320e+01 
3.00984e+02 ; -8.68473e-02 ; 1.30513e-03 ; -4.50844e-06 ; 1.42481e-03 ; 4.75800e+01 
3.00911e+02 ; -1.01177e-01 ; 1.30112e-03 ; -5.25204e-06 ; 1.42102e-03 ; 4.86230e+01 
3.00824e+02 ; -1.15170e-01 ; 1.29683e-03 ; -5.97801e-06 ; 1.41651e-03 ; 4.96450e+01 
3.00697e+02 ; -1.27389e-01 ; 1.29212e-03 ; -6.61159e-06 ; 1.40994e-03 ; 5.06020e+01 
3.00612e+02 ; -1.47033e-01 ; 1.28656e-03 ; -7.63063e-06 ; 1.40553e-03 ; 5.16470e+01 
3.00469e+02 ; -1.65865e-01 ; 1.27899e-03 ; -8.60702e-06 ; 1.39815e-03 ; 5.26690e+01 
3.00304e+02 ; -1.83719e-01 ; 1.27090e-03 ; -9.53233e-06 ; 1.38956e-03 ; 5.36840e+01 
3.00121e+02 ; -2.04594e-01 ; 1.26302e-03 ; -1.06139e-05 ; 1.38011e-03 ; 5.46930e+01 
2.99951e+02 ; -2.21459e-01 ; 1.25491e-03 ; -1.14874e-05 ; 1.37129e-03 ; 5.56400e+01 
2.99744e+02 ; -2.43410e-01 ; 1.24363e-03 ; -1.26240e-05 ; 1.36059e-03 ; 5.67000e+01 
2.99541e+02 ; -2.65915e-01 ; 1.23160e-03 ; -1.37890e-05 ; 1.35004e-03 ; 5.77100e+01 
2.99275e+02 ; -2.85785e-01 ; 1.21875e-03 ; -1.48164e-05 ; 1.33626e-03 ; 5.87180e+01 
2.99033e+02 ; -3.09529e-01 ; 1.20652e-03 ; -1.60444e-05 ; 1.32376e-03 ; 5.96630e+01 
